Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2019,W,BIOL,312,,101,Virology,Erica Packard;Krin Mann;Mikhail Zebroff,114,77.903508772,11.906694256,97.0,50.0,0,4,5,8,8,11,8,13,16,18,23
UBCO,2020,W,BIOL,312,,002,Virology,Erica Packard;Krin Mann;Sakshi Khanna,47,73.914893617,13.442033017,94.0,31.0,1,3,3,4,3,3,5,7,6,8,4
UBCO,2020,W,BIOL,312,,101,Virology,Erica Packard;Krin Mann;Sakshi Khanna,144,79.125,10.738386148,95.0,46.0,2,4,4,5,4,13,12,16,29,35,20
