Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2022,W,BALA,503,,DD1,Commercial Law,Vanessa Park;Elicia Salzberg,47,81.9,87.0,75.0,0,0,0,0,0,0,1,6,36,4,0,82.0,83.0,81.0
UBCV,2022,W,BALA,503,,DD2,Commercial Law,Vanessa Park;Elicia Salzberg,44,82.2,87.0,78.0,0,0,0,0,0,0,0,7,30,7,0,82.5,84.0,80.8
UBCV,2022,W,BALA,503,,MM1,Commercial Law,Vanessa Park,41,84.1,95.0,73.0,0,0,0,0,0,0,4,5,12,14,6,84.0,87.0,81.0
UBCV,2022,W,COMM,393,,106,Commercial Law,Vanessa Park,58,79.7,99.0,47.0,1,0,3,2,3,5,5,3,11,17,8,83.0,87.0,72.3
UBCV,2022,W,COMM,393,,107,Commercial Law,Vanessa Park,60,76.3,93.0,54.0,0,1,4,4,4,7,4,5,16,12,3,80.0,84.3,69.0
UBCV,2022,W,COMM,393,,205,Commercial Law,Vanessa Park,59,77.9,93.0,56.0,0,0,3,0,6,2,7,15,10,13,3,78.0,85.0,74.0
UBCV,2022,W,COMM,393,,206,Commercial Law,Vanessa Park,59,77.2,94.0,52.0,0,1,2,1,5,2,9,14,14,7,4,77.0,83.0,72.5
UBCV,2023,S,COMM,393,,921,Commercial Law,Vanessa Park,55,78.02,94.0,55.0,0,0,4,1,4,2,6,11,12,10,5,79.0,85.5,73.0
UBCV,2023,S,COMM,393,,922,Commercial Law,Vanessa Park,52,78.59,93.0,37.0,1,0,1,2,2,3,2,9,18,10,3,80.0,84.5,76.5
UBCV,2023,W,BALA,503,,DD1,Commercial Law,Vanessa Park,51,83.49,96.0,68.0,0,0,0,0,0,4,2,5,15,16,9,84.0,87.0,81.0
UBCV,2023,W,BALA,503,,DD2,Commercial Law,Vanessa Park,49,82.57,96.0,68.0,0,0,0,0,0,3,9,6,7,15,9,84.0,88.0,77.0
UBCV,2023,W,BALA,503,,MM1,Commercial Law,Vanessa Park,36,82.72,90.0,70.0,0,0,0,0,0,1,2,4,14,14,1,83.0,86.0,80.0
UBCV,2023,W,COHR,433,,201,Employment Law,Vanessa Park,43,78.47,87.0,44.0,1,0,2,1,0,3,5,6,11,14,0,81.0,85.0,74.5
UBCV,2023,W,COMM,393,,105,Commercial Law,Vanessa Park,60,75.6,87.0,40.0,2,1,1,3,2,11,3,8,22,7,0,79.0,83.0,71.0
UBCV,2023,W,COMM,393,,106,Commercial Law,Vanessa Park,61,78.4,92.0,45.0,1,0,4,1,2,5,4,10,16,14,4,81.0,86.0,74.0
UBCV,2023,W,COMM,393,,107,Commercial Law,Vanessa Park,62,75.9,91.0,57.0,0,0,4,4,5,3,12,9,17,7,1,77.0,83.0,71.3
UBCV,2023,W,COMM,393,,204,Commercial Law,Vanessa Park,59,75.0,92.0,50.0,0,1,5,0,5,9,7,10,15,5,2,78.0,82.0,69.5
UBCV,2023,W,COMM,393,,205,Commercial Law,Vanessa Park,60,76.0,95.0,42.0,3,0,3,2,4,5,7,6,14,11,4,79.0,84.5,70.5
UBCV,2023,W,COMM,393,,206,Commercial Law,Vanessa Park,60,73.8,95.0,14.0,1,4,3,6,5,5,7,5,8,9,7,74.5,85.0,64.8
