Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,GEOB,372,,201,Cartography,Andrew Plowright;Dawn Mooney,58,72.93103448,14.14072391,91.0,11.0,,,,,,5,8,9,15,8,
UBCV,2015,W,GEOB,372,,101,Cartography,Andrew Plowright;Dawn Mooney,60,74.5,7.301033129,90.0,56.0,0,0,,,,8,11,13,16,2,
UBCV,2015,W,GEOB,372,,201,Cartography,Andrew Plowright;Dawn Mooney,59,75.491525424,10.546077685,90.0,17.0,,,,,,6,6,17,16,7,
