Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2022,W,LAW,359,,001,Family Law,Elizabeth Cameron;Kimberley Santerre,46,72.5,90.0,52.0,0,3,1,4,6,8,4,8,5,6,1,73.0,80.3,66.0
UBCV,2023,W,LAW,431,D,002,Rise Womens Legal Centre - Seminar: Social Justice Issues for Families in the Legal System,Elizabeth Cameron;Kim Hawkins,6,77.8,82.0,74.0,,,,,,,,,,,,76.0,82.0,75.0
