Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,ENGL,112,,08B,Strategies for University Writing,Mandy Catron;Mandy Len Catron,31,69.51612903,11.75831895,81.0,21.0,,,,,,11,5,6,,0,0
UBCV,2014,W,ENGL,112,,08M,Strategies for University Writing,Mandy Catron;Mandy Len Catron,28,71.64285714,7.875015747,85.0,50.0,0,,,5,,5,7,,5,,0
UBCV,2014,W,ENGL,112,,09M,Strategies for University Writing,Mandy Catron;Mandy Len Catron,22,71.13636364,8.570689001,85.0,47.0,,,,,,7,,,,,0
UBCV,2014,W,ENGL,223,,001,Literature in the United States,Mandy Catron;Mandy Len Catron,46,71.7173913,12.64500436,85.0,0.0,,,2,,,10,10,9,6,3,0
UBCV,2016,W,ENGL,112,,04E,Strategies for University Writing,Mandy Catron;Mandy Len Catron,33,72.36363636,6.985781013,85.0,58.0,0,0,2,3,3,6,6,7,5,1,0
UBCV,2016,W,ENGL,112,,04M,Strategies for University Writing,Mandy Catron;Mandy Len Catron,35,66.02857143,11.33574698,80.0,29.0,3,0,2,6,3,10,5,5,1,0,0
UBCV,2017,W,ENGL,223,,003,Literature in the United States,Mandy Catron;Mandy Len Catron,39,71.41025641,10.477338826,90.0,39.0,3,0,0,2,4,8,9,7,3,2,1
