Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2022,S,EDUC,401,,951,Instructional Design,Vincent W.h. Chan,13,92.2,97.0,86.0,0,0,0,0,0,0,0,0,0,4,9,93.0,96.0,88.0
UBCV,2023,S,EDUC,401,,951,Instructional Design,Vincent W.h. Chan,13,89.85,96.0,81.0,0,0,0,0,0,0,0,0,2,3,8,91.0,93.0,87.0
