Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2023,S,PHIL,330,,001,Social and Political Philosophy,Celia Edell,37,78.1,93.0,28.0,1,1,1,0,1,4,4,2,9,10,3,81.0,87.0,73.5
UBCV,2023,W,PHIL,102,,003,Introduction to Philosophy II,Celia Edell,92,74.6,91.0,0.0,5,4,2,1,2,7,16,14,24,12,4,79.0,83.0,72.5
