Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,WRDS,150,B,613,Writing and Research in the Disciplines,Deogratias Nizonkiza;Meghan French-Smith,26,75.115384615,10.096838805,88.0,47.0,1,0,2,0,2,3,2,5,6,5,0
UBCV,2020,W,WRDS,150,B,635,Writing and Research in the Disciplines,Deogratias Nizonkiza;Meghan French-Smith,26,73.846153846,15.449769727,87.0,14.0,2,0,0,0,2,2,4,3,9,4,0
UBCV,2020,W,WRDS,150,B,646,Writing and Research in the Disciplines,Deogratias Nizonkiza;Meghan French-Smith,29,71.275862069,15.845000455,87.0,7.0,2,1,2,0,1,3,4,10,5,1,0
UBCV,2020,W,WRDS,150,B,651,Writing and Research in the Disciplines,Andrew Connolly;Meghan French-Smith,27,70.666666667,15.206274009,90.0,25.0,2,0,1,3,3,2,2,7,4,2,1
UBCV,2020,W,WRDS,150,B,856,Writing and Research in the Disciplines,Deogratias Nizonkiza;Meghan French-Smith,26,69.423076923,14.732747407,86.0,13.0,1,2,1,2,3,1,7,5,2,2,0
UBCV,2020,W,WRDS,150,B,873,Writing and Research in the Disciplines,Deogratias Nizonkiza;Meghan French-Smith,30,73.266666667,10.712330418,88.0,32.0,1,1,0,1,2,3,7,8,6,1,0
UBCV,2020,W,WRDS,150,B,952,Writing and Research in the Disciplines,Deogratias Nizonkiza;Meghan French-Smith,30,71.3,10.557396492,86.0,36.0,2,0,1,1,4,3,7,6,5,1,0
UBCV,2021,W,WRDS,150,A,232,Writing and Research in the Disciplines,Meghan French-Smith;Meredith Beales,25,68.96,20.911480101,87.0,13.0,5,1,0,0,0,1,2,5,10,1,0
UBCV,2021,W,WRDS,150,A,241,Writing and Research in the Disciplines,Meghan French-Smith;Meredith Beales,24,65.958333333,21.403939432,89.0,16.0,5,1,0,2,2,2,1,2,5,4,0
UBCV,2021,W,WRDS,150,A,251,Writing and Research in the Disciplines,Meghan French-Smith;Meredith Beales,24,63.958333333,19.815407195,86.0,28.0,7,0,0,2,3,0,2,3,5,2,0
UBCV,2021,W,WRDS,150,A,313,Writing and Research in the Disciplines,Kathleen Fitzpatrick;Meghan French-Smith,28,68.785714286,22.649269701,89.0,0.0,3,0,1,0,2,8,2,3,4,5,0
UBCV,2021,W,WRDS,150,A,352,Writing and Research in the Disciplines,Kathleen Fitzpatrick;Meghan French-Smith,30,78.033333333,13.887437472,90.0,18.0,1,1,0,0,2,0,2,3,12,7,2
UBCV,2021,W,WRDS,150,B,655,Writing and Research in the Disciplines,Meghan French-Smith;Meredith Beales,28,71.464285714,9.31141133,82.0,45.0,1,1,2,0,3,4,5,6,6,0,0
UBCV,2021,W,WRDS,150,B,801,Writing and Research in the Disciplines,Meghan French-Smith;Susan Blake,27,79.925925926,11.558965638,87.0,39.0,1,1,0,1,0,0,0,2,11,11,0
UBCV,2021,W,WRDS,150,B,831,Writing and Research in the Disciplines,Meghan French-Smith;Susan Blake,28,80.357142857,7.237834164,88.0,56.0,0,0,1,1,0,0,2,3,13,8,0
UBCV,2021,W,WRDS,150,B,843,Writing and Research in the Disciplines,Meghan French-Smith;Susan Blake,25,83.68,5.429241813,90.0,69.0,0,0,0,0,0,2,0,0,11,9,3
