Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,ECON,334,,001,Economic History of Modern Europe,Brandon Foote;Catherine Douglas,106,75.641509434,11.302076235,97.0,23.0,,,,,7,11,16,16,22,17,5
UBCV,2015,W,ECON,365,,001,Topics in Canadian Industrial Organization and Regulation Policy,Brandon Foote;Michael Vaney,78,71.230769231,15.465019663,99.0,15.0,,6,10,,8,10,6,8,7,7,10
