Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,EPSE,561,H,075,Laboratory Practicum,Molly E Lawlor;Molly Lawlor,8,90.125,6.22064535,96.0,78.0,0,0,0,0,0,0,0,1,1,0,6
UBCV,2020,S,ECED,531,B,97A,Supporting Young Children's Social Emotional Learning in Early Childhood Programs,Molly E Lawlor;Molly Lawlor,22,94.045454545,5.694418928,100.0,74.0,0,0,0,0,0,0,1,0,0,2,19
