Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,PHYS,159,,L2G,Introductory Physics Laboratory for Engineers,Ashley Warner;Chironjeev Kanjilal;James Wu;Jing Wang;Lesley Hill;Sarah Burke;Sunyuan Liang,51,93.68627451,13.861443209,100.0,0.0,1,0,0,0,0,0,0,0,1,3,46
UBCV,2021,W,PHYS,229,,L2B,Intermediate Experimental Physics II,Alexandra Davies;Douglas Andrew Bonn;Lucas Valenca Soares Bezerra;Megan Rutherford;Seraphim Hsieh Jarov;Sunyuan Liang;Yizhu Qiu,31,83.322580645,9.389309867,98.0,50.0,0,1,0,0,1,1,0,5,7,8,8
UBCV,2021,W,PHYS,229,,L2C,Intermediate Experimental Physics II,Alexandra Davies;Douglas Andrew Bonn;Lucas Valenca Soares Bezerra;Megan Rutherford;Seraphim Hsieh Jarov;Sunyuan Liang;Yizhu Qiu,29,84.103448276,9.652330687,99.0,55.0,0,0,2,0,0,0,0,3,9,7,8
