Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,CLST,232,,001,Ancient Rome,Katharine Huemoeller;Yanxing Liu,70,71.857142857,16.786196636,95.0,0.0,5,1,2,5,5,10,10,8,12,6,6
UBCV,2021,W,CLST,312,,001,Women in the Roman World of Republican and Imperial Times,Charmaine Gorrie;Yanxing Liu,49,76.102040816,14.386401128,90.0,2.0,1,2,1,1,3,3,8,4,13,11,2
