Professor,RelativeFilePath
Veena Sriram,S/Veena Sriram.csv
Shengjuan Xu,X/Shengjuan Xu.csv
Nadine Kallas,K/Nadine Kallas.csv
Julia Mayer,M/Julia Mayer.csv
Gail Wynston,W/Gail Wynston.csv
Mohammad Mahdi Shahrabi,S/Mohammad Mahdi Shahrabi.csv
George Haughn,H/George Haughn.csv
Wade Bingle,B/Wade Bingle.csv
Moutoshi Saha,S/Moutoshi Saha.csv
Daniel Eden,E/Daniel Eden.csv
Camilio Rada Giacaman,G/Camilio Rada Giacaman.csv
Karin Kermani,K/Karin Kermani.csv
Deirdre Curle,C/Deirdre Curle.csv
Beth Nanson,N/Beth Nanson.csv
John Ogundare,O/John Ogundare.csv
Ying Wang,W/Ying Wang.csv
Anna Holman,H/Anna Holman.csv
Chenying Yang,Y/Chenying Yang.csv
Lisa Coulthard,C/Lisa Coulthard.csv
Barrie Blatchford,B/Barrie Blatchford.csv
Louise Blais,B/Louise Blais.csv
Markus De Medeiros,M/Markus De Medeiros.csv
Tianqi Xing,X/Tianqi Xing.csv
Kendra Morphy,M/Kendra Morphy.csv
Ayaka Yoshimizu,Y/Ayaka Yoshimizu.csv
Luke Robert Bergmann,B/Luke Robert Bergmann.csv
Paula Wong-Chung,W/Paula Wong-Chung.csv
Frank Pizzitelli,P/Frank Pizzitelli.csv
Min Gyo Kim,K/Min Gyo Kim.csv
Cassidy Cyra,C/Cassidy Cyra.csv
David Duff,D/David Duff.csv
Stacey Miller,M/Stacey Miller.csv
Jennifer Abel,A/Jennifer Abel.csv
Faith Lesley Eiboff,E/Faith Lesley Eiboff.csv
Chih-An Wang,W/Chih-An Wang.csv
Meaghan Ormrod,O/Meaghan Ormrod.csv
Omran Abbas,A/Omran Abbas.csv
Bailey Eagan,E/Bailey Eagan.csv
Jordan Sicherman,S/Jordan Sicherman.csv
Babak Soltannia,S/Babak Soltannia.csv
Shona Margaret Ellis,E/Shona Margaret Ellis.csv
Jasper Zhao,Z/Jasper Zhao.csv
Dean Regier,R/Dean Regier.csv
Rachel Balko,B/Rachel Balko.csv
Adele Diamond,D/Adele Diamond.csv
Alicia Michele Kingdon,K/Alicia Michele Kingdon.csv
Anne Catherine Halstead,H/Anne Catherine Halstead.csv
Ariel Zhitnitsky,Z/Ariel Zhitnitsky.csv
Hans Frykman,F/Hans Frykman.csv
Eloise Lorene Faehndrich,F/Eloise Lorene Faehndrich.csv
Ebtisam Mursi,M/Ebtisam Mursi.csv
Jingqi Chen,C/Jingqi Chen.csv
Rajdeep Gill,G/Rajdeep Gill.csv
John Priatel,P/John Priatel.csv
Ena Grace Lee,L/Ena Grace Lee.csv
Atsuhiko Yoshizawa,Y/Atsuhiko Yoshizawa.csv
Linda Matsuuchi,M/Linda Matsuuchi.csv
Amanda Terra Lazar,L/Amanda Terra Lazar.csv
Minjong Kang,K/Minjong Kang.csv
Giovanni Michetti,M/Giovanni Michetti.csv
Mira Garner,G/Mira Garner.csv
Katheryn Iu,I/Katheryn Iu.csv
Maziar Riazy,R/Maziar Riazy.csv
Elinor Binson,B/Elinor Binson.csv
Hanae Tsukada,T/Hanae Tsukada.csv
Shiva Khoei,K/Shiva Khoei.csv
Margaret Priest,P/Margaret Priest.csv
Esther Arquillano,A/Esther Arquillano.csv
Krista Sale,S/Krista Sale.csv
Nipas Visavachaipan,V/Nipas Visavachaipan.csv
Seyyed Ebrahim Sajadi Hezave,H/Seyyed Ebrahim Sajadi Hezave.csv
John Richardson,R/John Richardson.csv
Ayman Elnaggar,E/Ayman Elnaggar.csv
Donovan Hare,H/Donovan Hare.csv
Barbara Jean Ballhorn,B/Barbara Jean Ballhorn.csv
David Shepherd,S/David Shepherd.csv
CALEB MUTCH,M/CALEB MUTCH.csv
Natalie Pak,P/Natalie Pak.csv
Ryan Dewolfe,D/Ryan Dewolfe.csv
Erick Nunez Bahena,B/Erick Nunez Bahena.csv
Alexandre Duval,D/Alexandre Duval.csv
SYDNEY WEAVER,W/SYDNEY WEAVER.csv
Farshid Safi,S/Farshid Safi.csv
Nancy Mahy,M/Nancy Mahy.csv
Felicia Mee Fung,F/Felicia Mee Fung.csv
Desiree Valadares,V/Desiree Valadares.csv
Karl Zimmermann,Z/Karl Zimmermann.csv
Yoel Kornreich,K/Yoel Kornreich.csv
Tianyu Hua,H/Tianyu Hua.csv
Akshat Porwal,P/Akshat Porwal.csv
Adriane Peak,P/Adriane Peak.csv
Jennifer Meineke,M/Jennifer Meineke.csv
Tor Aamodt,A/Tor Aamodt.csv
Mina Pourrahmat,P/Mina Pourrahmat.csv
Rachel Cripps,C/Rachel Cripps.csv
Nicole Elizabeth Nauss,N/Nicole Elizabeth Nauss.csv
HYUNJI LEE,L/HYUNJI LEE.csv
Jeremy Stone,S/Jeremy Stone.csv
Jasmeet Singh,S/Jasmeet Singh.csv
W George Povey,P/W George Povey.csv
Daniel Leibovitz,L/Daniel Leibovitz.csv
Baharan Pourahmadi-Meibodi,P/Baharan Pourahmadi-Meibodi.csv
Kerri Scherbinsky,S/Kerri Scherbinsky.csv
Nancy Francis,F/Nancy Francis.csv
Chia Sheng Pan,P/Chia Sheng Pan.csv
Huan Tian,T/Huan Tian.csv
Lucas Falch,F/Lucas Falch.csv
Miu Chung Yan,Y/Miu Chung Yan.csv
Janna Taylor,T/Janna Taylor.csv
Julia Gill,G/Julia Gill.csv
Deborah Giaschi,G/Deborah Giaschi.csv
Jessica Hanser,H/Jessica Hanser.csv
Zhaolong Han,H/Zhaolong Han.csv
Joel Nitikman,N/Joel Nitikman.csv
Jennifer Dengate,D/Jennifer Dengate.csv
Jessica Hansen,H/Jessica Hansen.csv
Jerry Yick Jim,J/Jerry Yick Jim.csv
Stephanie Bryson,B/Stephanie Bryson.csv
Katharine Jean Thompson,T/Katharine Jean Thompson.csv
Lawrence Berg,B/Lawrence Berg.csv
Erica Loh,L/Erica Loh.csv
Guangtao Meng,M/Guangtao Meng.csv
Cherisse Seaton,S/Cherisse Seaton.csv
CHUN YAN YU,Y/CHUN YAN YU.csv
Shebli Khoury,K/Shebli Khoury.csv
Karen Thompson,T/Karen Thompson.csv
Robin Buttar,B/Robin Buttar.csv
Jonathan Basile,B/Jonathan Basile.csv
Saeid Naderiparizi,N/Saeid Naderiparizi.csv
Marian Archibald,A/Marian Archibald.csv
Christian Gregory Cizek,C/Christian Gregory Cizek.csv
Peter Englezos,E/Peter Englezos.csv
Pallas Loredo,L/Pallas Loredo.csv
Parboti Roy,R/Parboti Roy.csv
Andrew Mills,M/Andrew Mills.csv
Thao Nguyen Huynh,H/Thao Nguyen Huynh.csv
Dustin Johnson,J/Dustin Johnson.csv
Justine See-Fernandez,S/Justine See-Fernandez.csv
Jennifer Thomson,T/Jennifer Thomson.csv
Jennifer Chen,C/Jennifer Chen.csv
Obada Alhumsi,A/Obada Alhumsi.csv
George Furey,F/George Furey.csv
Aina Crozier,C/Aina Crozier.csv
Toby Katrine Lawrence,L/Toby Katrine Lawrence.csv
Kalvin Nguyen,N/Kalvin Nguyen.csv
Chelsea Christie,C/Chelsea Christie.csv
Lucas Peng,P/Lucas Peng.csv
Radu Ripeanu,R/Radu Ripeanu.csv
Caitlin Gordon-Walker,G/Caitlin Gordon-Walker.csv
Kathleen Hare,H/Kathleen Hare.csv
Fatima Canales Gonzalez,G/Fatima Canales Gonzalez.csv
Melanie Law,L/Melanie Law.csv
Parash Loya,L/Parash Loya.csv
KEITH SMYTH,S/KEITH SMYTH.csv
Colby Chambers,C/Colby Chambers.csv
BARRY ALLAN FORER,F/BARRY ALLAN FORER.csv
Jillian Lerner,L/Jillian Lerner.csv
Keith Hann,H/Keith Hann.csv
Sophie Kitchen,K/Sophie Kitchen.csv
Norine Webster,W/Norine Webster.csv
Harper Keenan,K/Harper Keenan.csv
Daniel Muzyka,M/Daniel Muzyka.csv
James Zidek,Z/James Zidek.csv
Nick Milkovich,M/Nick Milkovich.csv
Richard D Mingus,M/Richard D Mingus.csv
Omer Kamal Aijazi,A/Omer Kamal Aijazi.csv
JAMES EDWARD SAUNDERS,S/JAMES EDWARD SAUNDERS.csv
Jennifer Clarke,C/Jennifer Clarke.csv
Siobhan Mcphee,M/Siobhan Mcphee.csv
Peter Jones,J/Peter Jones.csv
Matthew Hamm,H/Matthew Hamm.csv
Joseph O'Rourke,O/Joseph O'Rourke.csv
William Xiao,X/William Xiao.csv
Paul Beaton,B/Paul Beaton.csv
Erwan Tanne,T/Erwan Tanne.csv
Matthew Brown,B/Matthew Brown.csv
Donald Gordon,G/Donald Gordon.csv
Stephanie Tobin,T/Stephanie Tobin.csv
Liam Watson,W/Liam Watson.csv
MICHELLE KOZEY,K/MICHELLE KOZEY.csv
Garth Bowen,B/Garth Bowen.csv
Kaiwen Mu,M/Kaiwen Mu.csv
Elijah Willie,W/Elijah Willie.csv
Ajibola Fabusuyi,F/Ajibola Fabusuyi.csv
Kushank Bajaj,B/Kushank Bajaj.csv
John O'Brian,O/John O'Brian.csv
Alison Spadafora,S/Alison Spadafora.csv
Maria Higa Mcglashan,M/Maria Higa Mcglashan.csv
Evan Kallenberg,K/Evan Kallenberg.csv
Aksh Aggarwal,A/Aksh Aggarwal.csv
Milad Rezaei Hajidehi,H/Milad Rezaei Hajidehi.csv
Melanie Heym,H/Melanie Heym.csv
Rina Chua,C/Rina Chua.csv
Tim Anderson,A/Tim Anderson.csv
Kendra Zadravec,Z/Kendra Zadravec.csv
Sierra Collins,C/Sierra Collins.csv
Hoa Dang Khoa Dien,D/Hoa Dang Khoa Dien.csv
Hyunuk Lim,L/Hyunuk Lim.csv
Grace Shyng,S/Grace Shyng.csv
Kai Okazaki,O/Kai Okazaki.csv
Gabriela Cohen Freue,F/Gabriela Cohen Freue.csv
Heather Robertson,R/Heather Robertson.csv
Saeed Ghafghazi,G/Saeed Ghafghazi.csv
Sri Kalyan Thontepu,T/Sri Kalyan Thontepu.csv
Chi Le,L/Chi Le.csv
Vaibhav Aggarwal,A/Vaibhav Aggarwal.csv
Shannon Erdelyi,E/Shannon Erdelyi.csv
Simran Oberoi,O/Simran Oberoi.csv
Maria Tomaselli Crespo,C/Maria Tomaselli Crespo.csv
James Rogers,R/James Rogers.csv
Feiyang Cai,C/Feiyang Cai.csv
Tarik Eshaq,E/Tarik Eshaq.csv
Adriana Espinoza,E/Adriana Espinoza.csv
Zsuzsanna Fodor,F/Zsuzsanna Fodor.csv
