Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,BAAC,500,,001,Financial Reporting,Tran Khue Chung;Wantong Zou,7,86.0,13.747727085,98.0,58.0,0,0,,,,,,,,1,
UBCV,2015,W,COEC,293,,001,Financial Accounting,Tran Khue Chung;Wantong Zou,76,75.605263158,9.612601379,94.0,47.0,,,,3,5,11,10,10,18,9,5
UBCV,2015,W,COEC,293,,002,Financial Accounting,Tran Khue Chung;Wantong Zou,83,74.289156627,16.864257282,98.0,0.0,,,,5,6,9,13,0,14,14,13
UBCV,2015,W,COMM,320,,DD1,Financial Accounting,Tran Khue Chung;Wantong Zou,23,83.347826087,7.894812426,96.0,63.0,0,0,0,,,,,,7,5,6
UBCV,2015,W,COMM,320,,DD3,Financial Accounting,Tran Khue Chung;Wantong Zou,53,83.566037736,6.887864004,96.0,69.0,0,0,0,0,0,,7,,19,9,13
UBCV,2017,W,COMM,452,,201,Taxes and Decision Making,Tran Khue Chung;Wantong Zou,46,73.02173913,11.900493231,94.0,50.0,0,4,2,5,5,4,4,5,8,4,5
UBCV,2017,W,COMM,452,,202,Taxes and Decision Making,Tran Khue Chung;Wantong Zou,44,76.318181818,15.675151017,92.0,11.0,2,2,1,2,1,5,4,0,10,8,9
UBCV,2018,W,COEC,293,,001,Financial Accounting,Tran Khue Chung;Wantong Zou,112,76.160714286,12.954913897,94.0,0.0,1,3,3,9,9,8,16,12,20,13,18
UBCV,2018,W,COMM,452,,201,Taxes and Decision Making,Tran Khue Chung;Wantong Zou,42,75.619047619,12.923701767,92.0,36.0,1,2,3,2,2,3,3,3,12,6,5
UBCV,2018,W,COMM,452,,202,Taxes and Decision Making,Tran Khue Chung;Wantong Zou,42,78.928571429,13.647822764,98.0,36.0,2,1,1,0,1,4,2,3,10,11,7
