Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,COMM,475,,201,Investment Policy,Ruth Freedman;Yanping Zhu;Zhanbing Xiao,37,76.027027027,8.852138745,93.0,55.0,0,0,1,2,3,2,10,6,6,5,2
UBCV,2019,W,COMM,475,,202,Investment Policy,Ruth Freedman;Yanping Zhu;Zhanbing Xiao,36,81.777777778,8.222308022,95.0,62.0,0,0,0,1,0,4,4,4,5,10,8
