Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,HIST,103,,001,World History Since 1900,David Adie;David Taylor;David William Taylor;Jacob Green;Steven Hugh Lee,159,72.025157233,14.591027972,92.0,0.0,9,3,7,8,13,20,29,19,25,18,8
UBCV,2016,W,HIST,235,,101,History of Canada: Moments that Matter,Barrie Blatchford;Bradley Miller;David Adie;Tyler Hagan,99,70.82828283,12.1395293,90.0,6.0,4,3,3,10,9,11,17,20,15,6,1
UBCV,2016,W,HIST,346,,001,France Since the Revolution,David Adie;Tara Mayer,18,72.94444444,14.98812166,88.0,33.0,2,0,0,0,0,3,2,4,5,2,0
UBCV,2016,W,HIST,385,,201,India from Raj to Republic,David Adie;Tara Mayer,51,75.03921569,9.438137071,88.0,28.0,1,0,1,1,3,6,10,12,13,4,0
UBCV,2016,W,HIST,388,,201,"India in the Early Modern World: Mughals, Merchants, and Marauders",David Adie;Tara Mayer,44,74.52272727,7.324659327,90.0,59.0,0,0,1,1,5,7,8,9,8,4,1
