Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2021,S,ETEC,512,,66A,Applications of Learning Theories to the Analysis of Instructional Settings,Halimat Alabi,21,86.8,94.0,68.0,,,,,,,,,,7,8,88.0,92.0,83.0
UBCV,2021,S,ETEC,512,,66B,Applications of Learning Theories to the Analysis of Instructional Settings,Halimat Alabi,21,84.7,98.0,71.0,,,,,,,,,,7,,87.0,89.0,81.0
UBCV,2021,W,ETEC,512,,64A,Applications of Learning Theories to the Analysis of Instructional Settings,Halimat Alabi,19,87.8,100.0,0.0,,,,,,,,,,,14,94.0,96.0,88.0
UBCV,2021,W,ETEC,512,,65A,Applications of Learning Theories to the Analysis of Instructional Settings,Halimat Alabi;Christopher Rozitis,22,89.6,97.0,79.0,,,,,,,,,,8,11,89.5,92.8,86.3
UBCV,2021,W,ETEC,512,,65B,Applications of Learning Theories to the Analysis of Instructional Settings,Halimat Alabi;Christopher Rozitis,22,87.5,94.0,77.0,,,,,,,,,,9,8,87.5,91.0,85.3
UBCV,2021,W,ETEC,543,,64B,Understanding Learning Analytics,Halimat Alabi,21,89.5,100.0,73.0,,,,,,,,,,,12,90.0,96.0,86.0
UBCV,2022,S,ETEC,510,,66A,Design of Technology- Supported Learning Environments,Halimat Alabi,18,92.7,97.0,89.0,0,0,0,0,0,0,0,0,0,1,17,92.5,93.8,91.0
UBCV,2022,S,ETEC,512,,66A,Applications of Learning Theories to the Analysis of Instructional Settings,Halimat Alabi,15,89.1,99.0,77.0,0,0,0,0,0,0,0,3,1,3,8,90.0,95.5,84.0
UBCV,2022,W,ETEC,510,,65A,Design of Technology- Supported Learning Environments,Halimat Alabi,19,89.3,97.0,81.0,0,0,0,0,0,0,0,0,4,9,6,88.0,96.0,86.0
UBCV,2022,W,ETEC,512,,64A,Applications of Learning Theories to the Analysis of Instructional Settings,Halimat Alabi,16,88.1,96.0,71.0,0,0,0,0,0,1,0,0,2,6,7,88.5,91.3,87.0
UBCV,2022,W,ETEC,512,,64B,Applications of Learning Theories to the Analysis of Instructional Settings,Halimat Alabi,20,88.6,99.0,73.0,0,0,0,0,0,0,1,0,2,7,10,89.5,92.0,85.0
UBCV,2022,W,ETEC,512,,65A,Applications of Learning Theories to the Analysis of Instructional Settings,Halimat Alabi,17,87.5,95.0,77.0,0,0,0,0,0,0,0,3,2,4,8,88.0,94.0,80.0
UBCV,2023,W,ETEC,565,H,65A,Special Course in Subject Matter Field,Halimat Alabi,20,89.9,97.0,83.0,0,0,0,0,0,0,0,0,2,9,9,89.0,92.25,87.75
UBCV,2023,W,ETEC,565,H,65B,Special Course in Subject Matter Field,Halimat Alabi,19,86.89,94.0,70.0,0,0,0,0,0,1,0,2,1,7,7,89.0,90.75,85.0
