Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2009,W,SPAN,101,,111,BEGINNER SPAN I,"Lara Aguilar, Jose;Manchon, Enrique;Spacciante, Stephanie",34,71.06,19.66,93,0,28,4,1,0,1,1,0,0,1,2,4,0,1,2,4,1,5,4,2,5,4
UBC,2009,W,SPAN,102,,207,BEGINNER SPAN II,"Lara Aguilar, Jose;Manchon, Enrique",31,70.53,13.24,86,43,27,3,0,1,0,0,0,0,0,3,3,2,3,0,2,4,1,5,5,5,0
UBC,2010,W,SPAN,101,,113,BEGINNER SPAN I,"Lara Aguilar, Jose;Manchon, Enrique",30,74.88,9.36,92,61,26,0,3,0,1,0,0,0,0,0,0,0,0,4,4,1,4,5,4,1,3
UBC,2011,W,SPAN,201,,902,INTERMED SPAN I,"Lara Aguilar, Jose;Spacciante, Stephanie",31,70.36,17.87,96,19,24,4,1,1,0,0,1,0,0,3,4,2,0,1,3,3,1,3,5,4,2
UBC,2011,W,SPAN,202,,902,INTERMED SPAN II,"Lara Aguilar, Jose;Spacciante, Stephanie",31,67.67,13.13,94,46,29,1,1,0,0,0,0,0,0,1,1,5,1,6,3,1,4,3,2,1,3
UBC,2012,W,SPAN,101,,901,BEGINNER SPAN I,"Lara Aguilar, Jose;Manchon, Enrique",30,70.83,20.65,95,13,26,3,1,0,0,0,2,0,1,0,3,1,3,0,2,0,6,4,1,6,3
UBC,2012,W,SPAN,101,,902,BEGINNER SPAN I,"Lara Aguilar, Jose;Manchon, Enrique",33,75.81,9.86,94,57,31,0,0,1,1,0,0,0,0,0,0,0,3,2,2,2,3,7,6,4,2
UBCV,2014,W,SPAN,101,,107,Beginners' Spanish I,Enrique Manchon;Jose Lara Aguilar,33,71.21212121,12.79100655,92.0,41.0,,,,,,,,,,,,,,5,,,,,,,
UBCV,2014,W,SPAN,102,,209,Beginners' Spanish II,Enrique Manchon;Jose Lara Aguilar,30,71.06666667,14.13709557,94.0,34.0,,,,,,,,,,,,,,,,,,,,,
UBCV,2015,W,SPAN,101,,901,Beginners' Spanish I,Enrique Manchon;Jose Lara Aguilar,36,70.277777778,15.07810354,93.0,14.0,,,,,,,,,,,,,,,6,,5,,,5,
UBCV,2015,W,SPAN,102,,101,Beginners' Spanish II,Enrique Manchon;Jose Lara Aguilar,30,69.166666667,17.832715641,93.0,16.0,,,,,,,,,,,,,,,,5,,,,,
UBCV,2015,W,SPAN,102,,210,Beginners' Spanish II,Enrique Manchon;Jose Lara Aguilar,37,70.243243243,14.642793839,94.0,34.0,,,,,,,,,,,,,,,,,7,,7,,
