Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2022,W,ANTH,170,,001,Introduction to Linguistic Anthropology,Rachel McGraw,77,76.9,97.0,22.0,4,1,0,0,3,12,8,13,14,14,8,79.0,85.0,71.0
UBCO,2022,W,ANTH,270,,001,Phonology,Rachel McGraw,20,68.3,95.0,19.0,2,2,1,0,3,3,4,1,0,1,3,70.0,75.3,62.5
UBCO,2022,W,ANTH,277,,001,Anthropology of Reading and Writing,Rachel McGraw,56,73.2,94.0,28.0,2,2,3,5,1,9,6,10,8,8,2,75.5,82.0,68.0
UBCO,2022,W,ANTH,370,,001,"Morphology, Syntax, and Semantics",Rachel McGraw,36,73.1,94.0,3.0,4,0,2,1,0,5,2,4,9,5,4,80.0,84.5,70.8
UBCO,2022,W,INLG,281,,001,Sounds of Endangered Languages: Conservation and Revitalization,Rachel McGraw,9,79.0,91.0,68.0,0,0,0,0,0,2,1,1,3,1,1,80.0,83.0,75.0
UBCO,2022,W,INLG,282,,001,Structures of Endangered Languages: Conservation and Revitalization,Rachel McGraw,8,75.3,91.0,61.0,0,0,0,2,1,1,0,0,2,1,1,75.0,84.5,66.0
UBCO,2023,W,ANTH,377,,001,Sociolinguistics,Rachel McGraw,46,76.7,92.0,60.0,0,0,0,2,6,5,7,5,13,7,1,77.0,82.0,71.0
UBCO,2023,W,ANTH,474,,101,Language Emergence: From Contact to Constructed Languages,Rachel McGraw,28,72.9,92.0,30.0,1,1,3,0,2,3,3,3,6,1,3,75.0,81.0,66.5
UBCO,2023,W,INLG,281,,001,Sounds of Endangered Languages: Conservation and Revitalization,Rachel McGraw,14,77.5,90.0,39.0,1,0,0,0,0,0,2,1,3,1,2,81.0,86.0,74.5
UBCO,2023,W,INLG,282,,001,Structures of Endangered Languages: Conservation and Revitalization,Rachel McGraw,10,80.7,91.0,61.0,0,0,0,1,0,0,1,3,0,3,2,81.5,87.75,77.0
UBCO,2023,W,INLG,481,,001,Heritage Resources in Endangered Language Revitalization,Rachel McGraw,8,78.25,85.0,65.0,0,0,0,0,1,0,0,4,2,1,0,78.0,83.25,76.75
UBCV,2023,W,FNEL,281,,001,Sounds of Endangered Languages: Conservation and Revitalization,Rachel McGraw,20,74.89,93.0,51.0,0,2,1,2,1,1,2,1,2,2,4,77.0,85.0,63.5
