Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,ENGL,112,,02N,Strategies for University Writing,George Macgregor Morgan;George Morgan,25,74.0,6.751543034,86.0,59.0,0,0,,,,5,5,7,,,0
UBCV,2014,W,ENGL,112,,04B,Strategies for University Writing,George Macgregor Morgan;George Morgan,31,72.83870968,12.29660326,90.0,15.0,,,,,,5,8,9,,,
UBCV,2014,W,ENGL,112,,06A,Strategies for University Writing,George Macgregor Morgan;George Morgan,30,72.1,9.625218314,90.0,40.0,,,,,,5,9,5,5,,
UBCV,2014,W,ENGL,112,,07A,Strategies for University Writing,George Macgregor Morgan;George Morgan,31,73.87096774,5.772012563,82.0,55.0,0,0,,,,,12,5,7,0,0
UBCV,2014,W,ENGL,112,,13B,Strategies for University Writing,George Macgregor Morgan;George Morgan,25,72.48,8.231646251,85.0,45.0,,,,,,5,8,,,,0
UBCV,2014,W,ENGL,112,,13N,Strategies for University Writing,George Macgregor Morgan;George Morgan,26,71.11538462,16.0158095,90.0,0.0,,,,,,5,6,,5,,
UBCV,2014,W,ENGL,221,,013,Literature in Britain: the 18th Century to the Present,George Macgregor Morgan;George Morgan,28,69.28571429,19.55023376,85.0,10.0,,,,,,6,3,5,7,,0
UBCV,2015,S,ENGL,110,,MA2,Approaches to Literature,George Macgregor Morgan;George Morgan,33,74.57575758,7.14156103,90.0,55.0,0,0,,,,6,12,,,,
UBCV,2015,W,ENGL,112,,02P,Strategies for University Writing,George Macgregor Morgan;George Morgan,24,72.833333333,7.665091205,80.0,45.0,,,,,,5,6,5,5,0,0
UBCV,2015,W,ENGL,112,,04C,Strategies for University Writing,George Macgregor Morgan;George Morgan,31,72.548387097,6.830513449,85.0,50.0,0,,,,,,14,,,,0
UBCV,2015,W,ENGL,112,,04M,Strategies for University Writing,George Macgregor Morgan;George Morgan,26,71.423076923,7.322147646,85.0,52.0,0,,,,,5,8,,,,0
UBCV,2015,W,ENGL,112,,05R,Strategies for University Writing,George Macgregor Morgan;George Morgan,27,74.592592593,7.0941973,90.0,55.0,0,0,,,,,13,,,,
UBCV,2015,W,ENGL,112,,07B,Strategies for University Writing,George Macgregor Morgan;George Morgan,26,72.653846154,7.149502403,86.0,55.0,0,0,,,,5,9,,,,0
UBCV,2015,W,ENGL,112,,07P,Strategies for University Writing,George Macgregor Morgan;George Morgan,29,74.103448276,6.349042828,89.0,60.0,0,0,0,,,6,10,,,,0
UBCV,2015,W,ENGL,220,,005,Literature in English to the 18th Century,George Macgregor Morgan;George Morgan,29,76.551724138,5.558688225,87.0,69.0,0,0,0,0,0,7,7,,7,,0
UBCV,2016,S,ENGL,110,,MA4,Approaches to Literature,George Macgregor Morgan;George Morgan,34,74.58823529,5.343461862,84.0,62.0,0,0,0,1,3,3,9,9,9,0,0
UBCV,2016,W,ENGL,112,,04N,Strategies for University Writing,George Macgregor Morgan;George Morgan,31,71.64516129,6.145721477,82.0,50.0,0,1,0,2,1,8,11,6,2,0,0
UBCV,2016,W,ENGL,112,,05A,Strategies for University Writing,George Macgregor Morgan;George Morgan,30,73.8,8.355877551,86.0,40.0,1,0,0,0,1,8,7,5,6,2,0
UBCV,2016,W,ENGL,112,,06B,Strategies for University Writing,George Macgregor Morgan;George Morgan,32,73.65625,5.090214363,85.0,64.0,0,0,0,0,4,3,12,9,3,1,0
UBCV,2016,W,ENGL,112,,06P,Strategies for University Writing,George Macgregor Morgan;George Morgan,29,70.72413793,14.27509458,81.0,0.0,1,0,0,1,1,6,11,6,3,0,0
UBCV,2016,W,ENGL,112,,07P,Strategies for University Writing,George Macgregor Morgan;George Morgan,22,70.95454546,6.722225204,80.0,50.0,0,1,0,1,3,4,8,3,2,0,0
UBCV,2016,W,ENGL,112,,08A,Strategies for University Writing,George Macgregor Morgan;George Morgan,29,69.37931035,11.40305032,86.0,35.0,3,0,1,0,5,4,6,5,4,1,0
UBCV,2016,W,ENGL,112,,14N,Strategies for University Writing,George Macgregor Morgan;George Morgan,31,69.90322581,10.06430934,82.0,30.0,2,0,0,2,2,9,10,4,2,0,0
UBCV,2017,W,ENGL,357,M,002,Restoration and Eighteenth-Century Studies,George Macgregor Morgan;George Morgan,13,76.230769231,5.402990625,85.0,65.0,0,0,0,0,1,0,6,1,4,1,0
