Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2022,S,SOCI,101,,801,Social Interaction and Culture,Christopher MacKenzie,77,71.4,86.0,24.0,3,2,1,2,10,16,11,12,19,1,0,72.0,80.0,68.0
UBCV,2022,S,SOCI,102,,901,Inequality and Social Change,Christopher MacKenzie,60,70.3,85.0,0.0,2,2,1,7,8,6,7,9,15,3,0,73.0,80.0,64.8
UBCV,2022,S,SOCI,250,,801,Crime and Society,Christopher MacKenzie,27,73.7,90.0,56.0,0,0,1,0,3,7,6,3,3,3,1,73.0,78.5,68.0
UBCV,2022,W,SOCI,101,,101,Social Interaction and Culture,Christopher MacKenzie,206,71.0,90.0,0.0,6,2,7,9,28,41,40,27,34,11,1,72.0,78.0,66.5
UBCV,2022,W,SOCI,101,,201,Social Interaction and Culture,Christopher MacKenzie,208,70.1,90.0,0.0,12,6,6,17,17,26,47,29,31,15,2,72.0,78.0,65.8
UBCV,2022,W,SOCI,250,,101,Crime and Society,Christopher MacKenzie,130,73.1,86.0,43.0,2,0,1,4,17,22,29,28,21,6,0,74.0,78.0,69.0
UBCV,2022,W,SOCI,250,,203,Crime and Society,Christopher MacKenzie,105,72.4,87.0,0.0,3,0,4,6,13,12,16,22,17,12,0,74.0,80.0,68.0
UBCV,2023,S,SOCI,101,,801,Social Interaction and Culture,Christopher MacKenzie,48,71.96,82.0,57.0,0,0,1,2,4,12,15,5,8,0,0,72.0,76.0,68.0
UBCV,2023,S,SOCI,102,,901,Inequality and Social Change,Christopher MacKenzie,47,72.55,87.0,61.0,0,0,0,2,6,9,14,4,8,1,0,72.5,76.25,69.0
UBCV,2023,S,SOCI,250,,801,Crime and Society,Christopher MacKenzie,23,76.76,87.0,65.0,0,0,0,0,1,3,1,7,7,2,0,76.0,80.0,76.0
UBCV,2023,W,SOCI,101,,201,Social Interaction and Culture,Christopher MacKenzie,166,71.4,90.0,7.0,7,1,5,10,13,29,29,28,24,14,2,73.0,78.0,68.0
UBCV,2023,W,SOCI,250,,104,Crime and Society,Christopher MacKenzie,108,73.2,90.0,0.0,1,0,1,3,15,22,21,20,16,7,1,73.0,78.0,69.0
UBCV,2023,W,SOCI,250,,203,Crime and Society,Christopher MacKenzie,65,73.3,90.0,60.0,0,0,0,8,6,10,15,10,9,5,1,73.0,78.0,68.0
