Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2014,W,NRSG,111,,001,Health and Healing I: Living Health,Louise Mcintosh;Sandra Christine Balfour,58,84.10344828,5.253869602,94.0,73.0,0,0,0,0,0,0,3,9,16,21,9
UBCO,2014,W,NRSG,111,,002,Health and Healing I: Living Health,Louise Mcintosh;Sandra Christine Balfour,57,83.66666667,5.539898572,94.0,69.0,0,0,0,0,0,1,5,7,17,20,7
UBCO,2014,W,NRSG,112,,001,Professional Practice I: Introduction to the Profession of Nursing,Jacqueline Denison;Louise Mcintosh,57,77.66666667,5.442338433,90.0,64.0,0,0,0,0,,5,14,13,18,4,
UBCO,2014,W,NRSG,112,,002,Professional Practice I: Introduction to the Profession of Nursing,Jacqueline Denison;Louise Mcintosh,57,78.57894737,6.097269203,90.0,65.0,0,0,0,0,,9,5,13,15,12,
UBCO,2014,W,NRSG,113,,001,Relational Practice I: Self and Others,Kathy Rush;Louise Mcintosh,34,85.91176471,4.151433831,92.0,78.0,0,0,0,0,0,0,0,4,8,14,8
UBCO,2014,W,NRSG,113,,002,Relational Practice I: Self and Others,Louise Mcintosh;Mary Spruston,26,85.34615385,4.049121462,94.0,77.0,0,0,0,0,0,0,0,1,11,9,5
UBCO,2014,W,NRSG,113,,003,Relational Practice I: Self and Others,Deborah Mccullough;Louise Mcintosh,19,81.68421053,4.472789728,89.0,74.0,0,0,0,0,0,0,2,3,8,6,0
UBCO,2014,W,NRSG,113,,004,Relational Practice I: Self and Others,Deborah Mccullough;Louise Mcintosh,35,81.94285714,5.530359297,92.0,65.0,0,0,0,0,,,,5,16,7,3
UBCO,2014,W,NRSG,121,,001,Health & Healing II: Health Indicators,Cathrine Robinson;Louise Mcintosh,58,85.94827586,4.14399762,92.0,77.0,0,0,0,0,0,0,0,6,13,27,12
UBCO,2014,W,NRSG,121,,002,Health & Healing II: Health Indicators,Cathrine Robinson;Louise Mcintosh,57,83.89473684,4.369881539,91.0,75.0,0,0,0,0,0,0,2,9,14,27,5
UBCO,2014,W,NRSG,140,,001,L.P.N. Access to B.S.N.,Louise Mcintosh;Wendy Andrews,7,89.14285714,2.115700942,93.0,87.0,0,0,0,0,0,0,0,0,0,5,2
UBCO,2015,W,NRSG,111,,001,Foundations of Health,Jacqueline Denison;Louise Mcintosh,116,78.431034483,6.489086675,90.0,52.0,0,,,,5,7,14,30,39,16,
