Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2022,W,KIN,205,,001,Research Methods in Kinesiology,Carolyn McEwen,189,78.2,95.0,0.0,5,2,3,7,8,9,21,26,37,54,17,81.0,87.0,74.0
UBCV,2022,W,KIN,205,,002,Research Methods in Kinesiology,Carolyn McEwen,136,79.0,98.0,0.0,4,1,0,2,7,10,16,11,40,25,20,81.0,86.3,73.8
UBCV,2022,W,KIN,206,,001,Introduction to Statistics in Kinesiology,Carolyn McEwen,177,74.7,97.0,0.0,15,5,7,11,9,7,23,11,28,34,27,80.0,87.0,65.0
UBCV,2022,W,KIN,206,,002,Introduction to Statistics in Kinesiology,Carolyn McEwen,131,71.4,95.0,8.0,8,7,11,7,10,8,25,14,17,13,11,74.0,82.0,63.5
UBCV,2022,W,KIN,572,,001,Research Methods for Sport & Health Sciences,Carolyn McEwen,32,74.3,93.0,0.0,4,0,0,0,1,4,3,5,4,5,6,78.5,87.3,70.5
UBCV,2023,W,KIN,205,,001,Research Methods in Kinesiology,Carolyn McEwen,170,77.4,96.0,0.0,3,4,5,9,9,17,18,20,26,30,26,79.0,87.0,70.0
UBCV,2023,W,KIN,205,,002,Research Methods in Kinesiology,Carolyn McEwen,113,79.1,97.0,29.0,2,0,1,6,6,5,10,14,33,25,10,81.5,85.3,74.0
UBCV,2023,W,KIN,206,,001,Introduction to Statistics in Kinesiology,Carolyn McEwen,181,79.8,98.0,35.0,4,9,2,7,4,6,19,18,26,45,36,83.0,89.0,74.0
UBCV,2023,W,KIN,206,,002,Introduction to Statistics in Kinesiology,Carolyn McEwen,119,72.2,97.0,30.0,12,8,8,5,5,7,11,12,14,20,13,76.0,86.0,61.0
UBCV,2023,W,KIN,572,,001,Research Methods for Sport & Health Sciences,Carolyn McEwen,16,81.1,92.0,20.0,1,0,0,0,0,0,1,0,4,6,3,86.0,88.0,82.0
