Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,EOSC,111,,L2B,Laboratory Exploration of Planet Earth,Ashley Davidson;Daniel Woodell;Evelyn Da Motta Freres;Kohen Bauer;Marie Turnbull;Shane Rich;Yingkai Sha,20,74.2,13.94575959,89.0,37.0,,,,,,,,,,6,0
UBCV,2014,W,EOSC,111,,L2C,Laboratory Exploration of Planet Earth,Ashley Davidson;Daniel Woodell;Evelyn Da Motta Freres;Kohen Bauer;Marie Turnbull;Shane Rich;Yingkai Sha,20,80.35,11.83338275,92.0,50.0,0,,,,,,,,,10,
UBCV,2014,W,EOSC,111,,L2D,Laboratory Exploration of Planet Earth,Ashley Davidson;Daniel Woodell;Evelyn Da Motta Freres;Kohen Bauer;Marie Turnbull;Shane Rich;Yingkai Sha,23,80.52173913,14.55044381,91.0,36.0,,,,,,,,,6,8,5
UBCV,2014,W,EOSC,111,,L2F,Laboratory Exploration of Planet Earth,Ashley Davidson;Daniel Woodell;Evelyn Da Motta Freres;Kohen Bauer;Marie Turnbull;Shane Rich;Yingkai Sha,21,80.19047619,9.222901103,93.0,57.0,0,0,,,,,,,7,6,
UBCV,2014,W,EOSC,111,,L2H,Laboratory Exploration of Planet Earth,Ashley Davidson;Daniel Woodell;Evelyn Da Motta Freres;Kohen Bauer;Marie Turnbull;Shane Rich;Yingkai Sha,23,79.82608696,8.611050902,91.0,55.0,0,0,,,,,,,9,6,
UBCV,2015,W,EOSC,111,,L1A,Laboratory Exploration of Planet Earth,Alexander Wilson;Jordan Zak;Mollie Mcdowell;Natalie Cook;Pedro Odon;Roger Beckie;Shane Rich,23,82.782608696,9.867101084,92.0,51.0,0,,,,,,,,,13,
UBCV,2015,W,EOSC,111,,L1B,Laboratory Exploration of Planet Earth,Alexander Wilson;Jordan Zak;Mollie Mcdowell;Natalie Cook;Pedro Odon;Roger Beckie;Shane Rich,22,83.727272727,8.321983613,93.0,62.0,0,0,0,,,,,,,9,5
UBCV,2015,W,EOSC,111,,L1C,Laboratory Exploration of Planet Earth,Alexander Wilson;Jordan Zak;Mollie Mcdowell;Natalie Cook;Pedro Odon;Roger Beckie;Shane Rich,22,85.227272727,6.210067235,94.0,70.0,0,0,0,0,0,,,,,9,6
UBCV,2015,W,EOSC,111,,L1E,Laboratory Exploration of Planet Earth,Alexander Wilson;Jordan Zak;Mollie Mcdowell;Natalie Cook;Pedro Odon;Roger Beckie;Shane Rich,18,79.611111111,11.617121689,95.0,50.0,0,,,,,,,,,7,
UBCV,2015,W,EOSC,111,,L1F,Laboratory Exploration of Planet Earth,Alexander Wilson;Jordan Zak;Mollie Mcdowell;Natalie Cook;Pedro Odon;Roger Beckie;Shane Rich,24,81.375,12.805611881,94.0,30.0,,,,,,,,,5,9,
