Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2022,W,COHR,405,,201,Managing the Family Business,Mia Raynard,24,81.5,88.0,70.0,0,0,0,0,0,1,4,2,8,9,0,83.0,86.3,77.5
UBCV,2022,W,COMM,105,,101,"Values, Ethics, and Community",Tracey Gurton;Tamar Milne;Mia Raynard,56,75.1,90.0,0.0,2,0,1,1,6,5,4,12,15,9,1,78.0,84.0,69.8
UBCV,2022,W,COMM,105,,104,"Values, Ethics, and Community",Tracey Gurton;Tamar Milne;Mia Raynard,60,76.3,87.0,53.0,0,1,1,2,1,8,10,15,16,6,0,77.0,80.3,72.0
UBCV,2022,W,COMM,105,,105,"Values, Ethics, and Community",Tracey Gurton;Tamar Milne;Mia Raynard,54,74.1,95.0,53.0,0,1,3,2,4,11,12,6,7,5,3,73.5,80.0,68.3
UBCV,2022,W,COMM,105,,109,"Values, Ethics, and Community",Tracey Gurton;Tamar Milne;Mia Raynard,59,74.9,86.0,52.0,0,2,2,2,3,8,10,12,15,5,0,77.0,82.0,71.0
UBCV,2022,W,COMM,105,,110,"Values, Ethics, and Community",Tracey Gurton;Tamar Milne;Mia Raynard,55,70.8,89.0,26.0,5,0,2,6,4,9,7,3,13,6,0,72.0,81.5,66.5
UBCV,2022,W,COMM,105,,112,"Values, Ethics, and Community",Tracey Gurton;Tamar Milne;Mia Raynard,43,71.7,90.0,0.0,2,1,1,1,4,6,10,7,6,4,1,74.0,80.0,68.5
UBCV,2022,W,COMM,105,,113,"Values, Ethics, and Community",Tracey Gurton;Tamar Milne;Mia Raynard,49,72.6,86.0,36.0,2,0,0,3,8,7,7,7,12,3,0,73.0,80.0,67.0
UBCV,2023,S,BA,514,,821,"IMBA Residency - People, Culture and Organizations",Michael Daniels;Jonathan Blair Evans;Mahesh Nagarajan;Wayne Rawcliffe;Mia Raynard;Amy Stanley;Danielle van Jaarsveld;Lingtao Yu,16,80.44,85.0,76.0,0,0,0,0,0,0,0,6,9,1,0,80.5,82.0,78.75
UBCV,2023,S,BA,514,,822,"IMBA Residency - People, Culture and Organizations",Michael Daniels;Jonathan Blair Evans;Mahesh Nagarajan;Wayne Rawcliffe;Mia Raynard;Amy Stanley;Danielle van Jaarsveld;Lingtao Yu,13,79.23,85.0,69.0,0,0,0,0,0,1,0,6,5,1,0,79.0,82.0,78.0
UBCV,2023,W,COMM,105,,104,"Values, Ethics, and Community",Michael Daniels;Mia Raynard;Dharini Thiruchittampalam,60,75.3,94.0,0.0,1,0,1,1,5,8,14,10,7,10,3,75.5,82.3,71.0
UBCV,2023,W,COMM,105,,108,"Values, Ethics, and Community",Michael Daniels;Mia Raynard;Dharini Thiruchittampalam,59,71.7,87.0,0.0,2,2,2,6,3,5,11,11,12,4,0,75.0,80.0,66.5
UBCV,2023,W,COMM,105,,109,"Values, Ethics, and Community",Michael Daniels;Mia Raynard;Dharini Thiruchittampalam,57,74.6,95.0,52.0,0,2,1,8,4,7,8,3,11,10,2,73.5,83.0,66.8
UBCV,2023,W,COMM,105,,110,"Values, Ethics, and Community",Michael Daniels;Mia Raynard;Dharini Thiruchittampalam,58,75.9,93.0,34.0,1,0,1,2,3,8,12,13,9,6,3,76.0,81.8,71.3
UBCV,2023,W,COMM,105,,111,"Values, Ethics, and Community",Michael Daniels;Mia Raynard;Dharini Thiruchittampalam,54,71.1,89.0,0.0,3,0,3,7,3,5,9,2,14,7,0,74.0,82.0,64.0
UBCV,2023,W,COMM,105,,112,"Values, Ethics, and Community",Michael Daniels;Mia Raynard;Dharini Thiruchittampalam,47,71.8,93.0,0.0,1,0,4,2,5,17,3,1,7,1,6,70.0,80.0,67.5
