Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2014,W,MGMT,490,,001,Capstone Service Learning and Consulting,David Jenkins;Greg Ruetz;Russel Fields,58,86.36206897,5.580977327,95.0,72.0,0,0,0,0,0,0,3,7,6,20,22
UBCO,2014,W,MGMT,490,,101,Capstone Service Learning and Consulting,David Jenkins;Greg Ruetz;Russel Fields,53,82.16981132,5.659355254,93.0,66.0,0,0,0,0,,,6,6,17,17,5
UBCO,2014,W,MGMT,490,,102,Capstone Service Learning and Consulting,David Jenkins;Greg Ruetz;Russel Fields,51,83.41176471,5.433880641,94.0,71.0,0,0,0,0,0,,,6,24,10,7
UBCO,2014,W,MGMT,490,,103,Capstone Service Learning and Consulting,David Jenkins;Greg Ruetz;Russel Fields,50,82.76,4.618330823,92.0,71.0,0,0,0,0,0,,,7,17,18,3
UBCO,2015,W,MGMT,490,,001,Capstone Service Learning and Consulting,David Jenkins;Greg Ruetz;Russel Fields,82,83.048780488,4.34869766,90.0,73.0,0,0,0,0,0,0,7,7,36,29,3
UBCO,2015,W,MGMT,490,,101,Capstone Service Learning and Consulting,David Jenkins;Greg Ruetz;Russel Fields,94,84.308510638,3.525716874,92.0,75.0,0,0,0,0,0,0,1,4,43,42,4
UBCO,2016,W,MGMT,490,,001,Capstone Service Learning and Consulting,David Jenkins;Greg Ruetz;Russel Fields,79,81.0886076,7.317330803,91.0,61.0,0,0,0,4,2,4,4,11,16,34,4
UBCO,2016,W,MGMT,490,,101,Capstone Service Learning and Consulting,David Jenkins;Greg Ruetz;Russel Fields,99,83.45454546,3.305137396,90.0,76.0,0,0,0,0,0,0,0,7,51,38,3
UBCO,2017,W,MGMT,490,,001,Capstone Service Learning and Consulting,David Jenkins;Greg Ruetz;Russel Fields,77,82.571428571,6.193010856,91.0,63.0,0,0,0,3,0,1,3,12,24,25,9
UBCO,2017,W,MGMT,490,,101,Capstone Service Learning and Consulting,David Jenkins;Greg Ruetz;Russel Fields,75,83.933333333,6.445894007,94.0,65.0,0,0,0,0,1,3,6,6,17,26,16
UBCO,2018,W,MGMT,490,,001,Capstone Service Learning and Consulting,David Jenkins;Greg Ruetz;Russel Fields,102,84.156862745,4.028967138,92.0,74.0,0,0,0,0,0,0,5,7,39,46,5
UBCO,2018,W,MGMT,490,,101,Capstone Service Learning and Consulting,David Jenkins;Greg Ruetz;Russel Fields,70,84.828571429,4.904808137,94.0,76.0,0,0,0,0,0,0,0,13,19,22,16
