Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2016,W,APSC,486,,002,NEW VEN DESIGN,"Cubbon, Paul;Hodgson, Antony;Rhind, Julian",12,84.58,4.64,90,74,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,1
UBC,2016,W,APSC,496,D,002,INTER ENG PRJECT,"Cubbon, Paul;Hodgson, Antony;Rhind, Julian",7,84.57,1.4,86,83,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0
UBC,2016,W,APSC,496,E,002,INTER ENG PRJECT,"Cubbon, Paul;Hodgson, Antony;Rhind, Julian",10,84.3,4.72,89,74,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,0
UBC,2016,W,COMM,466,,002,NEW VENTURE DES,"Cubbon, Paul;Hodgson, Antony;Rhind, Julian",19,83.74,3.59,90,78,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,6,2
UBC,2017,W,APSC,486,,002,NEW VEN DESIGN,"Hodgson, Antony;Miller, David;Rhind, Julian",17,83.24,3.53,90,79,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,1
UBC,2017,W,APSC,496,D,002,INTER ENG PRJECT,"Hodgson, Antony;Miller, David;Rhind, Julian",6,81.83,10.91,88,60,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0
UBC,2017,W,APSC,496,E,002,INTER ENG PRJECT,"Hodgson, Antony;Miller, David;Rhind, Julian",12,83.83,3.66,90,80,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1
UBC,2017,W,COMM,466,,002,NEW VENTURE DES,"Hodgson, Antony;Miller, David;Rhind, Julian",15,83.67,2.79,87,79,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,0
UBC,2018,W,APSC,486,,001,NEW VEN DESIGN,"Abolmaesumi, Purang;Miller, David;Rhind, Julian",15,83.93,3.2,90,81,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,1
UBC,2018,W,APSC,496,D,001,INTER ENG PRJECT,"Abolmaesumi, Purang;Miller, David;Rhind, Julian",8,85.75,4.1,90,81,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3
UBC,2018,W,APSC,496,E,001,INTER ENG PRJECT,"Abolmaesumi, Purang;Miller, David;Rhind, Julian",10,82.1,1.1,84,81,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
UBC,2018,W,COMM,466,,001,NEW VENTURE DES,"Abolmaesumi, Purang;Miller, David;Rhind, Julian",18,83.11,4.24,88,70,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,7,0
