Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,COMR,457,,103,Fundamentals of Financial Accounting,Raunak Bhutoria;Scott Sinclair,34,71.441176471,15.517714562,99.0,41.0,6,2,0,1,2,2,5,6,3,4,3
UBCV,2021,W,COMR,457,,201,Fundamentals of Financial Accounting,Raunak Bhutoria;Scott Sinclair,39,71.512820513,16.130833167,91.0,33.0,5,3,1,1,1,5,2,4,9,6,2
