Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2022,W,ECED,405,,63A,Foundations of Curriculum and Instruction in Early Childhood Education,Carol Burbee,32,87.7,99.0,59.0,0,0,1,1,0,1,2,1,2,7,17,90.0,96.3,84.8
UBCV,2022,W,ECED,407,,63A,Supporting Early Learning in the Pre-School Years,Carol Burbee,29,88.0,98.0,66.0,0,0,0,0,1,0,2,2,2,7,15,90.0,95.0,85.0
UBCV,2022,W,ECED,407,,63C,Supporting Early Learning in the Pre-School Years,Carol Burbee,33,88.7,100.0,5.0,1,0,0,0,0,1,0,1,3,5,22,93.0,96.0,87.0
