Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2022,W,SPAN,201,,003,Advanced Beginners' Spanish I,Jaime Boyzo,22,77.1,97.0,8.0,2,1,0,0,0,2,3,1,4,1,8,82.0,90.8,74.0
UBCO,2022,W,SPAN,201,,004,Advanced Beginners' Spanish I,Jaime Boyzo,27,81.4,94.0,18.0,1,0,0,0,0,1,3,3,6,6,7,84.0,89.5,78.5
UBCO,2022,W,SPAN,202,,001,Advanced Beginners' Spanish II,Jaime Boyzo,20,87.9,100.0,65.0,0,0,0,0,1,0,0,4,1,1,13,91.0,93.3,81.3
UBCO,2022,W,SPAN,202,,002,Advanced Beginners' Spanish II,Jaime Boyzo,19,85.2,100.0,58.0,0,0,1,0,0,3,0,1,2,3,9,89.0,94.5,78.5
UBCO,2023,W,SPAN,101,,008,Beginners' Spanish I,Jaime Boyzo,19,90.78,100.0,75.0,0,0,0,0,0,0,1,1,1,5,10,92.0,96.0,87.25
UBCO,2023,W,SPAN,102,,002,Beginners' Spanish II,Jaime Boyzo,32,88.25,100.0,9.0,1,0,0,0,0,1,1,1,3,7,18,92.0,96.25,85.75
UBCO,2023,W,SPAN,201,,001,Advanced Beginners' Spanish I,Jaime Boyzo,30,91.27,99.0,60.0,0,0,0,1,0,0,0,1,3,3,22,93.5,96.0,87.0
UBCO,2023,W,SPAN,201,,002,Advanced Beginners' Spanish I,Jaime Boyzo,20,88.68,99.0,67.0,0,0,0,0,1,1,0,1,2,3,11,92.0,95.5,85.0
UBCO,2023,W,SPAN,201,,004,Advanced Beginners' Spanish I,Jaime Boyzo,20,92.95,100.0,26.0,1,0,0,0,0,0,0,0,0,1,17,97.0,98.0,95.5
UBCO,2023,W,SPAN,202,,003,Advanced Beginners' Spanish II,Jaime Boyzo,33,94.39,99.0,80.0,0,0,0,0,0,0,0,0,4,0,29,97.0,98.0,93.0
