Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2021,W,CRWR,150,,002,Introduction to Writing Poetry and Non-Fiction,Cole Mash;Dante Nieuwold;Mandy Wallace;Xiaoxuan Huang,71,79.154929577,17.91459731,97.0,0.0,4,0,0,2,3,2,3,10,10,24,13
UBCO,2021,W,CRWR,160,,002,Introduction to Writing Fiction and Drama,Andisha Sabri;Justin Madu;Mandy Wallace;Nick Tooke,78,76.935897436,12.1882845,91.0,9.0,2,2,1,1,2,3,11,17,23,14,2
