Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,FNH,250,,001,Nutrition Concepts and Controversies,Gail Hammond;Kelvin Au;Lily Ren;Tim Wu,111,77.657657658,11.120411614,96.0,38.0,3,2,3,4,4,9,13,17,23,22,11
UBCV,2020,W,FNH,250,,003,Nutrition Concepts and Controversies,Gail Hammond;Tebogo Leepile;Thao Hoang;Tim Wu,129,80.209302326,9.31117811,96.0,40.0,1,1,3,0,7,9,12,19,32,28,17
UBCV,2021,W,FNH,250,,001,Nutrition Concepts and Controversies,Gail Hammond;Joanne Chu;Thao Hoang;Tim Wu,125,76.256,12.953953189,95.0,7.0,3,4,3,3,9,16,10,19,20,29,9
