Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2020,W,MGMT,410,,002,Leadership in Complex Environments,Keith Culver;Kenneth Whittaker;Mike Chiasson;Mike Mcginty;Saifullah Mahfuz,125,76.392,7.585954764,91.0,52.0,0,1,6,2,4,14,22,30,32,12,2,,,
UBCO,2021,W,MGMT,410,,002,Leadership in Complex Environments,Keith Culver;Kenneth Whittaker;Mike Mcginty;Saifullah Mahfuz,115,71.008695652,15.206471183,88.0,0.0,4,2,7,4,9,15,26,23,17,8,0,,,
UBCO,2021,W,MGMT,410,,002,Leadership in Complex Environments,Keith Culver;Mike Mcginty;Kenneth Whittaker,114,71.6,,88.0,0.0,,,7,,9,15,26,23,17,8,,74.0,79.0,70.0
UBCO,2022,W,MGMT,410,,002,Leadership in Complex Environments,Keith Culver;Mike McGinty;Kenneth Whittaker,67,73.4,,90.0,32.0,1,2,1,4,5,11,12,14,13,3,1,75.0,79.5,69.0
UBCO,2023,W,MGMT,410,,002,Leadership in Complex Environments,Keith Culver;Mike McGinty;Kenneth Whittaker,34,73.9,,87.0,46.0,1,0,0,1,4,4,8,7,4,3,0,75.0,79.0,68.8
