Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,W,COMM,294,,203,Managerial Accounting,Clarisse Ong;Hoang Vi Nguyen;Imran Hasan Siddiqui;Rafael Lopes Rogo;Yu Ge Liu;Zijun Zhao,122,72.14754098,11.61266915,93.0,5.0,,,6,9,12,15,18,19,21,15,2
UBCV,2014,W,COMM,294,,204,Managerial Accounting,Clarisse Ong;Hoang Vi Nguyen;Imran Hasan Siddiqui;Rafael Lopes Rogo;Yu Ge Liu;Zijun Zhao,124,74.66129032,9.92728612,93.0,50.0,0,4,6,8,12,8,14,26,23,15,8
UBCV,2015,W,COMM,294,,201,Managerial Accounting,Allison Jang;Clarisse Ong;Ferrina Vora;Manveer Tatla;Rafael Lopes Rogo;Zijun Zhao,219,74.794520548,9.948895431,95.0,42.0,1,7,9,11,27,23,33,25,43,28,12
