Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,PSYC,336,,101,The Psychology of Language I,Adriel Orena;Mohit Bassi,89,77.303370787,8.65028178,91.0,55.0,0,0,3,2,6,12,16,7,20,17,6
UBCV,2020,W,PSYC,336,,901,The Psychology of Language I,Adriel Orena;Manlu Liu,151,74.688741722,9.409346722,92.0,41.0,2,2,11,4,12,19,22,22,41,14,2
