Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2022,W,FREN,101,,102,Beginners' French I,Cecile Ollivier-Budisa,46,79.8,99.0,20.0,1,1,0,2,0,5,4,4,13,7,9,82.0,87.0,74.3
UBCV,2022,W,FREN,102,,206,Beginners' French II,Cecile Ollivier-Budisa,22,76.9,94.0,56.0,0,0,2,1,2,3,1,2,5,4,2,79.5,85.3,69.3
UBCV,2022,W,FREN,201,,101,Elementary French I,Cecile Ollivier-Budisa,40,78.2,96.0,44.0,1,1,0,2,2,2,7,1,12,8,4,81.0,85.3,73.0
UBCV,2022,W,FREN,201,,106,Elementary French I,Cecile Ollivier-Budisa,25,78.8,94.0,57.0,0,0,1,3,0,1,2,6,3,6,3,79.0,88.0,74.0
UBCV,2022,W,FREN,202,,202,Elementary French II,Cecile Ollivier-Budisa,50,78.5,98.0,53.0,0,1,2,3,3,3,5,10,6,9,8,78.5,87.8,73.0
UBCV,2022,W,FREN,202,,205,Elementary French II,Cecile Ollivier-Budisa,33,79.3,97.0,52.0,0,1,2,0,2,1,5,4,6,5,7,80.0,88.0,73.0
UBCV,2023,S,FREN,201,,921,Elementary French I,Cecile Ollivier-Budisa,33,79.0,94.0,51.0,0,1,2,1,3,2,4,1,3,6,9,82.5,90.0,70.25
UBCV,2023,W,FREN,101,,102,Beginners' French I,Cecile Ollivier-Budisa,44,72.9,89.0,45.0,2,1,3,2,5,6,2,6,12,5,0,76.0,82.0,66.8
UBCV,2023,W,FREN,102,,202,Beginners' French II,Cecile Ollivier-Budisa,30,71.1,92.0,0.0,4,0,1,2,1,3,3,4,4,5,2,76.0,84.0,67.0
UBCV,2023,W,FREN,201,,101,Elementary French I,Cecile Ollivier-Budisa,50,78.0,97.0,56.0,0,0,1,3,6,5,3,6,11,6,8,80.0,87.0,69.0
UBCV,2023,W,FREN,201,,111,Elementary French I,Cecile Ollivier-Budisa,33,73.1,95.0,48.0,1,2,3,3,4,2,4,2,4,5,3,73.0,83.0,62.0
UBCV,2023,W,FREN,202,,203,Elementary French II,Cecile Ollivier-Budisa,54,78.0,96.0,50.0,0,1,2,2,6,5,5,5,7,9,10,79.5,87.3,68.8
UBCV,2023,W,FREN,202,,206,Elementary French II,Cecile Ollivier-Budisa,44,77.4,96.0,32.0,1,1,1,1,2,4,9,6,5,7,7,77.0,86.3,72.8
