Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2023,W,MATH,100,,1C2,Differential Calculus with Applications,Matthew Dickson;Balazs Elek;Martyna Goral;Brian Wetton,411,63.4,93.0,1.0,80,33,28,24,19,37,51,28,63,21,10,69.0,78.0,51.0
UBCV,2023,W,MATH,100,,1C3,Differential Calculus with Applications,Masoud Daneshi;Matthew Dickson;Martyna Goral;Petr Kosenko;Shubhodip Mondal;Elyse Yeager,450,65.3,94.0,0.0,64,37,33,31,23,61,53,41,56,15,15,69.0,78.0,55.0
UBCV,2023,W,MATH,101,,2C2,Integral Calculus with Applications,Matthew Dickson;Teemu Jarvinen;Petr Kosenko;Elyse Yeager,296,57.4,100.0,1.0,80,35,44,28,19,20,12,12,21,7,5,57.0,68.0,45.0
UBCV,2023,W,MATH,101,,2C3,Integral Calculus with Applications,Matthew Dickson;Teemu Jarvinen;Mark Thomson MacLean,263,57.9,97.0,0.0,60,47,30,20,16,11,21,8,13,9,8,57.0,71.0,50.0
