Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,GERM,110,,001,Beginners' German II,Gela Struch;Stephanie Dreier,15,82.733333333,8.522798557,93.0,65.0,0,0,0,0,,,,,,,
UBCV,2016,W,CENS,404,,001,"Gender and Nation: Women's State in Modern Central, Eastern and Northern European Literatures and Cultures",Stephanie Dreier;Steven Taubeneck,42,77.07142857,13.47516751,91.0,0.0,1,0,1,1,0,0,2,15,18,3,1
UBCV,2017,W,SCAN,335,,001,Vikings and Norse Mythology (in English),Geoffrey Winthrop-Young;Stephanie Dreier,64,76.59375,13.586546509,93.0,17.0,2,2,2,4,4,2,6,7,14,17,4
