Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,GERM,304,,003,German Cinema (in English),Ervin Malakaj;Shoshana Schwebel,70,82.085714286,6.775366415,95.0,69.0,0,0,0,0,0,4,9,14,18,10,15
UBCV,2020,W,CENS,202,,001,"Great Works of Literature from Central, Eastern and Northern Europe (in English).",Gaby Pailer;Shoshana Schwebel,29,80.103448276,17.847258348,94.0,0.0,1,1,0,1,0,1,1,0,8,11,5
UBCV,2020,W,GERM,301,,002,German Literature 1900 - 1945 (in English),Ilinca Iurascu;Shoshana Schwebel,44,85.590909091,14.380733529,96.0,0.0,1,0,0,1,0,0,0,1,4,14,23
