Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,COMM,363,,201,Marketing Analysis,Baek Jung Kim;Dimitri Antonio Nitsopoulos;Gurkiran Dhatt;Hyun Kyung Ju;Jennifer Shen;Kris Yu;Lydia Yoon;Suzanne Pang,33,76.333333333,6.188026072,87.0,63.0,0,0,0,1,2,5,5,9,9,2,0
UBCV,2021,W,COMM,363,,202,Marketing Analysis,Baek Jung Kim;Dimitri Antonio Nitsopoulos;Gurkiran Dhatt;Hyun Kyung Ju;Jennifer Shen;Kris Yu;Lydia Yoon;Suzanne Pang,41,81.43902439,4.733121488,91.0,70.0,0,0,0,0,0,1,3,9,15,11,2
UBCV,2021,W,COMM,363,,203,Marketing Analysis,Baek Jung Kim;Dimitri Antonio Nitsopoulos;Gurkiran Dhatt;Hyun Kyung Ju;Jennifer Shen;Kris Yu;Lydia Yoon;Suzanne Pang,40,78.625,5.731995223,90.0,66.0,0,0,0,0,2,3,6,7,15,6,1
