Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,W,FREN,101,,108,Beginners' French I,Juliet O'Brien;Massoumeh Khaleghi Saraghein,30,73.63333333,22.5594744,95.0,0.0,2,1,1,1,2,0,3,5,7,4,4
UBCV,2016,W,FREN,112,,206,Intermediate French II,Massoumeh Khaleghi Saraghein;Robert Miller,17,75.52941177,20.47290175,94.0,0.0,1,0,0,0,0,0,5,2,6,0,3
