Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2022,W,FRST,436,,001,Growth and Yield,Ignacio Barbeito Sanchez,11,86.9,92.0,80.0,0,0,0,0,0,0,0,0,3,5,3,88.0,89.5,84.5
UBCV,2023,W,FRST,436,,001,Growth and Yield,Ignacio Barbeito Sanchez,13,80.2,96.0,70.0,0,0,0,0,0,1,3,3,3,2,1,79.0,82.0,75.0
UBCV,2023,W,GEM,540,,201,Linear Regression Models and Introduction to Spatial Statistics,Ignacio Barbeito Sanchez,29,88.14,95.0,77.0,0,0,0,0,0,0,0,1,5,12,11,89.0,91.0,85.0
