Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,APBI,265,,001,Sustainable Agriculture and Food Systems,Amy Sigsworth;Delisa Lewis,22,82.818181818,17.070264772,97.0,20.0,1,0,1,0,0,2,0,0,4,3,11
UBCV,2019,W,APBI,361,,199,Key Indicators of Agroecosystem Sustainability,Amy Sigsworth;Delisa Lewis,36,80.277777778,11.348029687,98.0,50.0,0,1,2,1,1,2,4,2,9,5,9
UBCV,2019,W,LFS,250,,198,"Land, Food and Community I: Introduction to Food Systems and Sustainability",Amy Sigsworth;Marie-Claude Fortin,29,79.206896552,15.414231157,98.0,29.0,2,0,1,0,0,1,2,4,6,8,5
