Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,FREN,416,A,201,Studies in French Literature since 1900,Ralph Sarkonak;Ralph W. Sarkonak,28,69.928571429,12.361614935,91.0,27.0,1,0,2,3,5,6,2,2,6,0,1
UBCV,2018,S,FREN,220,,922,Introduction to Early French Literature and to Textual Analysis,Ralph Sarkonak;Ralph W. Sarkonak,11,65.818181818,20.277170324,90.0,13.0,1,0,1,1,3,1,1,1,0,1,1
UBCV,2018,W,FREN,483,A,101,Studies in Literature and History,Ralph Sarkonak;Ralph W. Sarkonak,24,75.708333333,15.526916788,90.0,10.0,1,0,0,0,1,3,3,4,8,3,1
