Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,CIVL,413,,201,Design of Earth Dams and Containment Structures,Amy Swerid;Kwang Victor Lo;R Jonathan Fannin,22,74.454545455,8.494969227,90.0,58.0,0,0,1,2,2,0,4,7,3,2,1
UBCV,2020,W,CIVL,413,,201,Design of Earth Dams and Containment Structures,Amy Swerid;Hamidreza Yaminighaeshi;R Jonathan Fannin,24,77.166666667,10.234921748,95.0,50.0,0,1,0,1,2,3,3,2,5,5,2
