Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2022,W,INFO,300,,002,Information and Data Design,Olivier st-Cyr,40,80.6,90.0,75.0,0,0,0,0,0,0,1,8,26,4,1,80.0,82.3,80.0
UBCV,2022,W,LIBR,559,E,002,Topics in Computer-Based Information Systems,Olivier st-Cyr,17,85.5,90.0,81.0,0,0,0,0,0,0,0,0,4,11,2,85.0,86.0,85.0
