Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2017,W,FRE,374,,001,Land and Resource Economics,Siru Guo;Sumeet Gulati,65,79.846153846,10.219819545,93.0,53.0,0,2,2,2,3,2,8,7,15,12,12
UBCV,2017,W,FRE,420,,001,The Economics of International Trade and the Environment,Siru Guo;Sumeet Gulati,35,80.342857143,6.548205219,90.0,63.0,0,0,0,1,0,2,4,6,12,9,1
