Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCO,2022,W,ENGL,112,,007,Studies in Composition,Ethan Guagliardo,26,73.4,85.0,58.0,0,0,1,3,3,3,4,5,4,3,0,73.0,79.8,67.3
UBCO,2022,W,ENGL,112,,012,Studies in Composition,Ethan Guagliardo,30,74.6,88.0,51.0,0,1,0,0,1,8,7,5,5,3,0,74.0,79.8,71.0
UBCO,2022,W,ENGL,112,,112,Studies in Composition,Ethan Guagliardo,30,74.6,85.0,30.0,1,0,1,0,1,6,3,7,9,2,0,77.0,80.0,71.0
UBCO,2022,W,ENGL,112,,115,Studies in Composition,Ethan Guagliardo,30,70.2,91.0,16.0,1,0,4,4,3,0,8,1,6,2,1,72.5,80.0,63.0
UBCO,2022,W,ENGL,150,,108,Introduction to Literary Genre,Ethan Guagliardo,30,72.0,95.0,24.0,2,0,5,0,3,1,3,5,5,5,1,76.0,82.0,64.5
UBCO,2022,W,ENGL,156,,001,Environmental Literature,Ethan Guagliardo,28,67.5,88.0,24.0,4,1,3,2,1,3,5,2,1,6,0,71.5,79.5,57.0
UBCO,2022,W,ENGL,221,,101,Foundations: Literature in Historical Context 2,Ethan Guagliardo;Jennifer Gustar,31,70.3,93.0,0.0,2,2,4,0,1,5,3,3,3,3,5,73.0,84.0,62.0
UBCO,2023,S,ENGL,112,,001,Studies in Composition,Ethan Guagliardo,25,73.13,88.0,10.0,1,0,0,2,2,4,0,6,4,4,0,77.0,81.5,68.0
UBCO,2023,W,ENGL,150,,105,Introduction to Literary Genre,Ethan Guagliardo,34,64.1,97.0,4.0,8,1,2,2,2,4,1,0,7,2,4,68.0,83.0,50.0
UBCO,2023,W,ENGL,150,,107,Introduction to Literary Genre,Ethan Guagliardo,32,75.0,95.0,35.0,1,1,2,1,2,3,4,2,3,5,4,75.0,88.0,67.0
UBCO,2023,W,ENGL,156,,001,Environmental Literature,Ethan Guagliardo,34,75.8,91.0,19.0,2,0,0,1,1,3,6,3,8,6,2,78.5,84.3,72.8
UBCO,2023,W,ENGL,156,,002,Environmental Literature,Ethan Guagliardo,35,73.7,93.0,14.0,3,0,0,5,0,3,2,6,6,5,4,79.0,84.8,68.3
UBCO,2023,W,ENGL,250,,101,Foundations: Interdisciplinary Theory and Method in Literary Research,Ethan Guagliardo,24,81.2,91.0,67.0,0,0,0,0,1,1,2,3,8,5,2,82.0,86.8,77.0
UBCO,2023,W,ENGL,349,A,001,17th-Century Literature,Ethan Guagliardo,23,73.5,92.0,9.0,2,0,1,0,1,1,4,5,5,3,1,78.0,83.0,74.0
