Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,10-19,20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2003,W,BAMS,580,,001,TPCS MNGMNT SCIE,"Ziemba, William T",13,79.92,4.07,91,76,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,1
UBC,2003,W,COMM,612,,001,ADV OPTIMIZATION,"Ziemba, William T",7,91.5,1.38,93,90,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
