Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,S,ENGL,112,,98A,Strategies for University Writing,Kimberley A Trainor;Kimberley Trainor,28,70.35714286,13.30612303,90.0,20.0,,,,,5,,8,,,,
UBCV,2014,W,ENGL,112,,03R,Strategies for University Writing,Kimberley A Trainor;Kimberley Trainor,35,69.31428571,11.19551231,80.0,12.0,,,,,,12,12,,,0,0
UBCV,2014,W,ENGL,112,,05C,Strategies for University Writing,Kimberley A Trainor;Kimberley Trainor,35,73.0,6.756260713,83.0,50.0,0,,,,,7,12,10,,0,0
UBCV,2014,W,ENGL,112,,05Q,Strategies for University Writing,Kimberley A Trainor;Kimberley Trainor,31,74.48387097,6.908308851,89.0,50.0,0,,,,,5,14,6,,,0
UBCV,2014,W,ENGL,112,,06D,Strategies for University Writing,Kimberley A Trainor;Kimberley Trainor,32,71.6875,13.1159531,90.0,8.0,,,,,,8,10,,,,
UBCV,2014,W,ENGL,112,,06R,Strategies for University Writing,Kimberley A Trainor;Kimberley Trainor,33,73.48484849,8.170530935,83.0,35.0,,,,,,6,11,9,5,0,0
UBCV,2014,W,ENGL,112,,99C,Strategies for University Writing,Kimberley A Trainor;Kimberley Trainor,26,71.26923077,15.53720102,81.0,7.0,,,,,,,9,8,,0,0
UBCV,2014,W,ENGL,220,,003,Literature in English to the 18th Century,Kimberley A Trainor;Kimberley Trainor,42,72.33333333,9.572997254,88.0,41.0,,,,,,9,13,3,7,,0
UBCV,2015,S,ENGL,112,,JL1,Strategies for University Writing,Kimberley A Trainor;Kimberley Trainor,34,74.55882353,7.572642853,84.0,43.0,,,,,,,9,11,7,0,0
UBCV,2015,W,ENGL,112,,02C,Strategies for University Writing,Kimberley A Trainor;Kimberley Trainor,34,74.558823529,4.001448044,80.0,60.0,0,0,0,,,,15,11,,0,0
UBCV,2015,W,ENGL,112,,03E,Strategies for University Writing,Kimberley A Trainor;Kimberley Trainor,32,73.21875,5.122589913,81.0,52.0,0,,,,,7,11,10,,0,0
UBCV,2015,W,ENGL,112,,05E,Strategies for University Writing,Kimberley A Trainor;Kimberley Trainor,35,74.885714286,2.987930905,82.0,67.0,0,0,0,0,,,20,9,,0,0
UBCV,2015,W,ENGL,112,,13P,Strategies for University Writing,Kimberley A Trainor;Kimberley Trainor,34,74.117647059,8.204820113,88.0,33.0,,,,,,,22,5,,,0
UBCV,2015,W,ENGL,112,,99C,Strategies for University Writing,Kimberley A Trainor;Kimberley Trainor,26,76.0,15.359687497,91.0,7.0,,,,,,,6,5,6,,
UBCV,2015,W,ENGL,220,,013,Literature in English to the 18th Century,Kimberley A Trainor;Kimberley Trainor,34,71.705882353,6.864619046,89.0,58.0,0,0,,,5,10,5,,5,,0
UBCV,2016,S,ENGL,220,,951,Literature in English to the 18th Century,Kimberley A Trainor;Kimberley Trainor,35,71.68571429,10.14822914,85.0,37.0,2,0,0,3,2,4,11,7,4,2,0
UBCV,2016,W,ENGL,112,,11N,Strategies for University Writing,Kimberley A Trainor;Kimberley Trainor,32,71.84375,12.32126244,82.0,11.0,1,0,0,2,2,3,15,4,5,0,0
UBCV,2016,W,ENGL,112,,99A,Strategies for University Writing,Kimberley A Trainor;Kimberley Trainor,27,78.59259259,7.786868924,90.0,51.0,0,1,0,1,0,0,4,5,12,3,1
UBCV,2017,S,ENGL,220,,951,Literature in English to the 18th Century,Kimberley A Trainor;Kimberley Trainor,31,75.548387097,7.145342118,87.0,61.0,0,0,0,1,3,5,5,5,7,5,0
UBCV,2017,W,ENGL,348,A,99C,Shakespeare and the Renaissance,Kimberley A Trainor;Kimberley Trainor,44,71.818181818,15.268561296,89.0,0.0,3,1,0,2,4,4,8,10,7,5,0
UBCV,2018,W,ENGL,348,A,99A,Shakespeare and the Renaissance,Kimberley A Trainor;Kimberley Trainor,34,73.647058824,6.400200532,90.0,60.0,0,0,0,2,4,5,11,6,5,0,1
