Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2016,W,ECON,234,,002,Wealth and Poverty of Nations,Hugh Neary;Shehrbano Khan,79,73.65822785,15.68429402,96.0,0.0,3,3,4,3,2,12,7,13,16,12,4
UBCV,2016,W,ECON,351,,003,Women in the Economy,Mukesh Eswaran;Shehrbano Khan,63,69.3015873,12.72745942,93.0,32.0,5,1,5,3,8,10,11,5,9,2,4
UBCV,2016,W,ECON,370,,002,Benefit-Cost Analysis and the Economics of Project Evaluation,Clive Chapple;Shehrbano Khan,74,78.52702703,9.204261927,94.0,50.0,0,1,2,2,2,5,13,13,17,9,10
