Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2022,W,ARST,554,,002,Database Design,Fatemeh Salehian Kia,9,92.4,97.0,89.0,0,0,0,0,0,0,0,0,0,1,8,92.0,93.0,91.0
UBCV,2022,W,LIBR,554,,002,Database Design,Fatemeh Salehian Kia,15,92.2,99.0,77.0,0,0,0,0,0,0,0,1,0,2,12,93.0,96.0,90.5
UBCV,2022,W,LIBR,559,C,001,Topics in Computer-Based Information Systems,Fatemeh Salehian Kia,15,89.2,100.0,58.0,1,0,0,0,0,0,1,1,1,0,11,94.0,95.5,87.5
UBCV,2022,W,LING,530,G,001,Linguistic Problems in a Special Area,Fatemeh Salehian Kia,10,97.4,100.0,91.0,0,0,0,0,0,0,0,0,0,0,10,98.5,100.0,95.5
UBCV,2023,S,LIBR,554,,942,Database Design,Fatemeh Salehian Kia,8,96.63,99.0,93.0,0,0,0,0,0,0,0,0,0,0,8,97.0,98.25,95.5
UBCV,2023,S,LIBR,559,C,941,Topics in Computer-Based Information Systems,Fatemeh Salehian Kia,14,95.85,99.0,92.0,0,0,0,0,0,0,0,0,0,0,13,97.0,97.0,95.0
UBCV,2023,W,ARST,554,,001,Database Design,Fatemeh Salehian Kia,7,94.71,98.0,91.0,0,0,0,0,0,0,0,0,0,0,7,95.0,95.5,94.0
UBCV,2023,W,LIBR,539,J,001,Specialized Materials,Fatemeh Salehian Kia;Luanne Silvia Sinnamon,19,84.76,90.0,75.0,0,0,0,0,0,0,1,2,3,9,2,86.0,88.0,83.0
UBCV,2023,W,LIBR,554,,001,Database Design,Fatemeh Salehian Kia,9,89.78,95.0,79.0,0,0,0,0,0,0,0,1,1,1,6,92.0,94.0,87.0
UBCV,2023,W,LIBR,554,,002,Database Design,Fatemeh Salehian Kia,15,87.47,92.0,84.0,0,0,0,0,0,0,0,0,1,12,2,87.0,88.5,86.0
