Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,APPP,503,,101,Organizational Leadership,Olivia Krieger;Robert Prowse,70,77.985714286,7.804667606,92.0,45.0,,,,,,9,19,9,17,9,5
UBCV,2016,S,BAHR,508,,302,Managing Change,Olivia Krieger;Robert Prowse,29,78.82758621,3.526116495,87.0,73.0,0,0,0,0,0,0,6,12,9,2,0
UBCV,2016,S,BAHR,508,,815,Managing Change,Olivia Krieger;Robert Prowse,28,78.0,2.735229694,84.0,73.0,0,0,0,0,0,0,4,15,9,0,0
UBCV,2016,W,APPP,503,,101,Organizational Leadership,Olivia Krieger;Robert Prowse,35,79.08571429,6.491494111,91.0,68.0,0,0,0,0,0,4,8,8,6,6,3
UBCV,2016,W,APPP,503,,102,Organizational Leadership,Olivia Krieger;Robert Prowse,34,78.88235294,6.039088361,88.0,68.0,0,0,0,0,0,5,7,6,9,7,0
UBCV,2016,W,BAHR,508,,001,Managing Change,Olivia Krieger;Robert Prowse,33,76.81818182,6.682320637,93.0,68.0,0,0,0,0,0,5,10,9,4,3,2
UBCV,2016,W,BAHR,508,,301,Managing Change,Olivia Krieger;Robert Prowse,27,78.88888889,3.017045592,85.0,74.0,0,0,0,0,0,0,4,12,10,1,0
UBCV,2016,W,BAHR,508,,816,Managing Change,Olivia Krieger;Robert Prowse,28,76.57142857,3.615077187,86.0,71.0,0,0,0,0,0,1,11,12,3,1,0
UBCV,2016,W,COHR,307,,101,Introduction to Organizational Consulting,Olivia Krieger;Robert Prowse,35,76.11428571,5.65566571,88.0,65.0,0,0,0,0,4,2,7,12,7,3,0
UBCV,2016,W,COHR,401,,101,Organizational Change,Olivia Krieger;Robert Prowse,23,78.34782609,6.161527966,89.0,67.0,0,0,0,0,1,1,8,3,6,4,0
UBCV,2016,W,COHR,408,,201,Organizational Design,Olivia Krieger;Robert Prowse,17,78.88235294,4.255619123,85.0,72.0,0,0,0,0,0,0,4,4,8,1,0
