Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,SOCI,121,,001,Introduction to Sociology II,Dilsora Komil-Burley;Jannah Jais;Luis Aguiar;Lynda Reil;Nurul Jais;Sierra Krog,85,68.81176471,12.16992205,87.0,21.0,4,6,3,12,10,9,14,11,12,4,0
UBCO,2016,W,SOCI,121,,002,Introduction to Sociology II,Dilsora Komil-Burley;Jannah Jais;Luis Aguiar;Lynda Reil;Nurul Jais;Sierra Krog,62,67.82258065,10.54035834,90.0,35.0,2,6,0,12,9,11,8,4,6,3,1
