Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2022,W,MUSC,100,,001,Principles of Musical Form,Leigh van Handel,66,82.9,100.0,0.0,4,0,0,1,1,1,3,4,11,13,28,87.5,94.0,82.0
UBCV,2022,W,MUSC,403,P,001,Selected Topics in Music,Leigh van Handel,7,88.6,95.0,50.0,0,1,0,0,0,0,0,0,0,0,6,95.0,95.0,95.0
UBCV,2022,W,MUSC,403,U,001,Selected Topics in Music,Leigh van Handel,7,85.1,95.0,50.0,0,1,0,0,0,0,0,0,1,0,5,92.0,93.5,86.0
UBCV,2022,W,MUSC,411,,001,Analysis of Tonal Music,Leigh van Handel,9,77.3,94.0,30.0,2,0,0,0,0,0,0,0,1,2,4,89.0,93.0,80.0
UBCV,2022,W,MUSC,500,A,001,Advanced Musical Analysis,Leigh van Handel,6,83.8,93.0,50.0,1,0,0,0,0,0,0,0,0,1,4,91.5,92.0,86.5
UBCV,2022,W,MUSC,533,P,001,Advanced Studies in Music Theory,Leigh van Handel,10,92.7,95.0,72.0,0,0,0,0,0,0,1,0,0,0,9,95.0,95.0,95.0
UBCV,2022,W,MUSC,533,U,001,Advanced Studies in Music Theory,Leigh van Handel,10,93.5,95.0,86.0,0,0,0,0,0,0,0,0,0,1,9,95.0,95.0,92.8
UBCV,2023,W,MUSC,100,,001,Principles of Musical Form,Leigh van Handel,46,79.5,98.0,0.0,4,0,0,0,1,4,3,3,7,7,16,85.0,92.0,75.0
UBCV,2023,W,MUSC,100,,002,Principles of Musical Form,Leigh van Handel,41,81.3,96.0,45.0,1,0,3,1,1,2,2,5,6,4,14,82.0,92.5,75.5
UBCV,2023,W,MUSC,403,Y,001,Selected Topics in Music,Leigh van Handel,7,85.3,95.0,50.0,0,1,0,0,0,0,0,0,0,1,5,91.0,93.0,87.5
