Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2019,W,COMM,335,,202,Information Systems Technology and Development,Lyuyuan Zhao;Raymond Hung;Yau Man Cheung,76,79.078947368,10.223845536,98.0,51.0,0,1,1,4,4,6,6,10,16,16,12
UBCV,2021,W,COMM,439,,101,Business Telecommunications,Raymond Hung;Tiffany Li;Yau Man Cheung,27,75.518518519,8.820301627,90.0,58.0,0,0,1,2,2,2,4,8,2,4,2
UBCV,2021,W,COMM,439,,102,Business Telecommunications,Raymond Hung;Tiffany Li;Yau Man Cheung,39,80.179487179,7.545900926,98.0,64.0,0,0,0,0,1,6,2,5,12,8,5
