Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2014,S,ENGL,222,,98A,Literature in Canada,Alexander Hart;R Alexander G Hart;R Alexander Hart,13,60.84615385,25.7967897,88.0,0.0,,,,,,,,,,,0
UBCV,2014,W,ENGL,112,,03C,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,31,67.67741936,9.089873841,83.0,42.0,,,,,6,7,6,,,0,0
UBCV,2014,W,ENGL,112,,03P,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,27,65.81481482,13.00602534,83.0,13.0,,,5,,,,5,,,0,0
UBCV,2014,W,ENGL,112,,05M,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,24,66.91666667,7.739883533,77.0,45.0,,,,,,11,,,0,0,0
UBCV,2014,W,ENGL,112,,06E,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,33,67.03030303,6.502330585,82.0,50.0,0,,,5,11,7,,,,0,0
UBCV,2014,W,ENGL,222,,99C,Literature in Canada,Alexander Hart;R Alexander G Hart;R Alexander Hart,7,50.14285714,35.79305599,91.0,0.0,,,,,,,,,,,
UBCV,2014,W,ENGL,470,D,003,Canadian Studies,Alexander Hart;R Alexander G Hart;R Alexander Hart,25,73.72,10.43040428,86.0,37.0,,,,,,,8,,7,,0
UBCV,2015,W,ENGL,112,,03C,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,29,67.344827586,7.222365373,82.0,50.0,0,,,5,9,,5,,,0,0
UBCV,2015,W,ENGL,112,,03P,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,23,64.086956522,7.89656452,74.0,38.0,,,,7,5,,,0,0,0,0
UBCV,2015,W,ENGL,112,,04Q,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,24,58.916666667,20.449123861,83.0,0.0,,,,5,5,5,,,,0,0
UBCV,2015,W,ENGL,112,,06A,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,30,68.233333333,6.268054383,85.0,58.0,0,0,,6,8,8,,,,,0
UBCV,2015,W,ENGL,112,,06P,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,24,67.5,4.653189649,77.0,58.0,0,0,,,6,8,5,,0,0,0
UBCV,2015,W,ENGL,474,A,001,Studies in Contemporary Literature,Alexander Hart;R Alexander G Hart;R Alexander Hart,22,71.318181818,15.597271934,88.0,9.0,,,,,,6,,5,-22,,0
UBCV,2016,W,ENGL,112,,03C,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,30,66.26666667,6.469735023,76.0,45.0,1,1,1,3,8,12,3,1,0,0,0
UBCV,2016,W,ENGL,112,,03N,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,25,64.48,8.675252158,85.0,37.0,1,1,2,7,6,5,1,1,0,1,0
UBCV,2016,W,ENGL,112,,04B,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,30,65.93333333,6.756520903,78.0,51.0,0,2,3,3,9,7,3,3,0,0,0
UBCV,2016,W,ENGL,112,,04R,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,31,63.51612903,7.284096685,76.0,42.0,2,1,3,5,9,9,1,1,0,0,0
UBCV,2016,W,ENGL,112,,06E,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,26,65.15384615,7.503025031,78.0,52.0,0,4,2,3,6,6,2,3,0,0,0
UBCV,2016,W,ENGL,112,,06N,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,26,68.07692308,7.662496079,86.0,51.0,0,1,1,7,4,5,5,1,1,1,0
UBCV,2017,S,ENGL,112,,MA3,Strategies for University Writing,Alexander Hart;R Alexander G Hart;R Alexander Hart,29,67.862068966,13.154912548,82.0,12.0,2,0,1,1,5,9,4,3,4,0,0
UBCV,2017,S,ENGL,222,,98A,Literature in Canada,Alexander Hart;R Alexander G Hart;R Alexander Hart,15,63.333333333,20.707716528,89.0,0.0,1,3,0,2,3,1,1,1,2,1,0
