Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2020,W,WRDS,150,B,602,Writing and Research in the Disciplines,April Kyungyeon Hwang;Rohan Karpe,27,74.148148148,15.238371869,90.0,28.0,2,1,1,1,0,2,5,2,7,5,1
UBCV,2020,W,WRDS,150,B,634,Writing and Research in the Disciplines,April Kyungyeon Hwang;Rohan Karpe,28,77.642857143,13.665892351,92.0,25.0,1,0,1,0,1,5,0,4,6,7,3
UBCV,2020,W,WRDS,150,B,645,Writing and Research in the Disciplines,April Kyungyeon Hwang;Rohan Karpe,28,78.178571429,11.038832371,90.0,40.0,1,0,0,2,1,2,2,3,8,7,2
UBCV,2021,W,WRDS,150,B,636,Writing and Research in the Disciplines,April Kyungyeon Hwang;Mi-Young Kim,23,67.391304348,9.966941404,80.0,33.0,1,0,2,3,2,6,6,2,1,0,0
UBCV,2021,W,WRDS,150,B,652,Writing and Research in the Disciplines,April Kyungyeon Hwang;Mi-Young Kim,26,75.0,8.069696401,84.0,55.0,0,0,1,1,4,2,2,4,12,0,0
UBCV,2021,W,WRDS,150,B,661,Writing and Research in the Disciplines,April Kyungyeon Hwang;Mi-Young Kim,30,73.266666667,7.934791714,86.0,41.0,1,0,0,1,1,5,10,7,4,1,0
UBCV,2021,W,WRDS,150,B,692,Writing and Research in the Disciplines,April Kyungyeon Hwang;Mi-Young Kim,28,69.321428571,8.739241307,82.0,52.0,0,2,1,6,2,4,4,7,2,0,0
UBCV,2021,W,WRDS,150,B,821,Writing and Research in the Disciplines,April Kyungyeon Hwang;Mi-Young Kim,26,68.384615385,6.91709143,82.0,53.0,0,1,2,1,7,6,6,1,2,0,0
UBCV,2021,W,WRDS,150,B,833,Writing and Research in the Disciplines,April Kyungyeon Hwang;Mi-Young Kim,28,68.892857143,10.188371315,86.0,46.0,1,3,2,2,1,4,7,4,3,1,0
UBCV,2021,W,WRDS,150,B,851,Writing and Research in the Disciplines,April Kyungyeon Hwang;Mi-Young Kim,28,72.321428571,7.930501696,84.0,51.0,0,1,1,1,4,3,7,6,5,0,0
UBCV,2021,W,WRDS,150,B,863,Writing and Research in the Disciplines,April Kyungyeon Hwang;Mi-Young Kim,25,70.6,6.357410374,85.0,60.0,0,0,0,3,6,5,5,3,2,1,0
