Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,SOCI,240,,201,Introduction to Social Interaction,Grace Bian;Neil Armitage;Sarah Huxley,130,76.469230769,12.346539208,91.0,0.0,6,2,3,2,4,9,12,24,45,21,2
UBCV,2021,W,SOCI,361,,101,Social Inequality,Catherine Corrigall-Brown;Neil Armitage;Sarah Huxley;Taylor Green,144,76.5,12.073203293,92.0,0.0,4,2,2,1,1,7,33,40,32,18,4
