Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2015,W,GRSJ,101,,001,"Gender, Race, Sex and Power",Kathleen Hare;Leonora Angeles,77,83.194805195,6.714162097,94.0,62.0,0,0,0,,,,5,7,15,34,10
UBCV,2015,W,GRSJ,224,A,99C,"Gender, Race, Sexuality, and Social Justice in Literature",June Scudeler;Kathleen Hare,58,74.810344828,21.873204706,100.0,0.0,5,,,,,,6,,9,15,10
