Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100,Median,Percentile (75),Percentile (25)
UBCV,2022,W,MECH,488,,101,Introduction to Ship Hydrodynamics,Mohammed Hannan,31,85.7,99.0,33.0,1,0,0,0,0,0,1,4,7,2,16,90.0,92.5,81.0
UBCV,2022,W,MECH,488,,102,Introduction to Ship Hydrodynamics,Mohammed Hannan,8,77.9,98.0,60.0,0,0,0,1,1,1,0,1,1,2,1,79.0,86.0,67.8
UBCV,2022,W,NAME,502,,201,Advanced Ship Hydrodynamics,Mohammed Hannan;Jon Mikkelsen,22,86.5,95.0,60.0,0,0,0,1,0,0,0,2,3,5,11,89.0,91.0,84.5
UBCV,2022,W,NAME,566,,201,Ship Dynamics and Control,Mohammed Hannan,20,83.2,96.0,76.0,0,0,0,0,0,0,0,7,5,4,4,81.5,85.5,78.0
UBCV,2023,W,MECH,479,,101,Introduction to Computational Fluid Dynamics,Mohammed Hannan,29,87.43,98.0,65.0,0,0,0,0,1,0,0,3,3,6,15,90.0,92.0,84.75
UBCV,2023,W,MECH,481,,101,Aerodynamics of Aircraft I,Mohammed Hannan,19,82.26,96.0,69.0,0,0,0,0,0,1,4,1,4,5,4,82.0,87.5,75.0
UBCV,2023,W,MECH,488,,101,Introduction to Ship Hydrodynamics,Mohammed Hannan,35,81.11,99.0,50.0,1,0,0,1,0,1,4,8,7,6,7,80.0,88.0,76.0
UBCV,2023,W,MECH,587,,101,Computational Fluid Dynamics,Mohammed Hannan,12,87.17,96.0,60.0,0,0,0,1,0,1,0,0,0,3,7,91.5,94.25,87.25
UBCV,2023,W,NAME,502,,201,Advanced Ship Hydrodynamics,Mohammed Hannan;Jon Mikkelsen,19,83.1,100.0,0.0,1,0,0,0,0,0,0,0,2,11,5,87.0,89.5,85.0
UBCV,2023,W,NAME,566,,201,Ship Dynamics and Control,Mohammed Hannan,7,72.3,90.0,0.0,1,0,0,0,0,0,1,0,1,3,1,85.0,87.0,78.5
